p N0 N1 N2 N3 estimation xi_exact ECM exact_ECM fisher fisher_exact
0.0001 166 0 34 0 0.849934 0.785398 0.00500114 0.00500125 0.999773 0.99975
0.0101 171 0 28 1 0.763733 0.785398 0.00513284 0.00512819 0.974119 0.975003
0.0201 176 0 23 1 0.68134 0.785398 0.00531327 0.00525903 0.941041 0.950746
0.0301 172 1 25 2 0.710905 0.785398 0.00544928 0.00539393 0.917553 0.926968
0.0401 165 1 32 2 0.810372 0.785398 0.00551257 0.00553305 0.907018 0.90366
0.0501 168 3 27 2 0.734531 0.785398 0.00573853 0.00567658 0.871303 0.880813
0.0601 160 6 30 4 0.786841 0.785398 0.00582276 0.00582468 0.8587 0.858416
0.0701 171 5 19 5 0.591413 0.785398 0.00646192 0.00597757 0.773764 0.836461
0.0801 160 4 35 1 0.838022 0.785398 0.00604732 0.00613543 0.826813 0.814939
0.0901 152 5 39 4 0.900887 0.785398 0.00610053 0.00629848 0.819601 0.793843
0.1001 152 7 32 9 0.811452 0.785398 0.00640737 0.00646695 0.780352 0.773162
0.1101 151 3 42 4 0.927665 0.785398 0.00634522 0.00664108 0.787994 0.75289
0.1201 149 5 38 8 0.883962 0.785398 0.00657517 0.00682111 0.760436 0.733018
0.1301 162 5 28 5 0.710552 0.785398 0.00729817 0.00700732 0.685103 0.71354
0.1401 151 6 35 8 0.830562 0.785398 0.00704911 0.00719998 0.709309 0.694446
0.1501 159 6 27 8 0.688271 0.785398 0.0078763 0.00739939 0.634816 0.675731
0.1601 158 4 28 10 0.698918 0.785398 0.00805712 0.00760587 0.620569 0.657387
0.1701 156 9 29 6 0.712333 0.785398 0.00822109 0.00781974 0.608192 0.639407
0.1801 145 10 38 7 0.864636 0.785398 0.00769426 0.00804136 0.649835 0.621785
0.1901 145 7 40 8 0.883852 0.785398 0.0078218 0.00827111 0.639239 0.604514
0.2001 147 11 32 10 0.762928 0.785398 0.0086483 0.00850937 0.578148 0.587588
0.2101 135 13 44 8 0.956981 0.785398 0.00795858 0.00875658 0.628253 0.570999
0.2201 145 9 32 14 0.754661 0.785398 0.00923539 0.00901317 0.541396 0.554744
0.2301 141 8 39 12 0.861439 0.785398 0.00880211 0.00927963 0.568046 0.538815
0.2401 140 13 31 16 0.740504 0.785398 0.00993808 0.00955646 0.503115 0.523206
0.2501 142 11 36 11 0.802641 0.785398 0.00970656 0.0098442 0.515115 0.507913
0.2601 146 6 33 15 0.734384 0.785398 0.0106419 0.0101434 0.469839 0.49293
0.2701 122 23 36 19 0.869755 0.785398 0.00978276 0.0104548 0.511103 0.478251
0.2801 142 17 32 9 0.714884 0.785398 0.0115908 0.0107789 0.431376 0.463871
0.2901 141 12 28 19 0.634685 0.785398 0.0133408 0.0111164 0.37479 0.449785
0.3001 143 13 34 10 0.725989 0.785398 0.0122193 0.0114682 0.409188 0.435989
0.3101 129 24 32 15 0.74086 0.785398 0.0124128 0.011835 0.402811 0.422477
0.3201 138 14 33 15 0.709665 0.785398 0.0133309 0.0122176 0.375069 0.409245
0.3301 126 13 46 15 0.952422 0.785398 0.0109804 0.0126171 0.455358 0.396288
0.3401 138 17 28 17 0.585548 0.785398 0.0174999 0.0130343 0.285715 0.383602
0.3501 118 20 44 18 0.952281 0.785398 0.0116421 0.0134705 0.429476 0.371182
0.3601 138 16 31 15 0.624453 0.785398 0.0175494 0.0139266 0.28491 0.359024
0.3701 118 22 38 22 0.845342 0.785398 0.0135208 0.0144041 0.369802 0.347124
0.3801 118 25 42 15 0.901255 0.785398 0.0132735 0.0149041 0.37669 0.335479
0.3901 119 19 46 16 0.947254 0.785398 0.013204 0.0154282 0.378674 0.324083
0.4001 124 24 39 13 0.801863 0.785398 0.0156678 0.0159779 0.319126 0.312933
0.4101 125 18 36 21 0.73034 0.785398 0.0178222 0.0165549 0.280549 0.302026
0.4201 118 29 30 23 0.6267 0.785398 0.0220752 0.017161 0.226499 0.291358
0.4301 120 28 29 23 0.571301 0.785398 0.0259135 0.0177984 0.19295 0.280924
0.4401 115 18 47 20 0.946258 0.785398 0.0155722 0.0184691 0.321085 0.270723
0.4501 119 22 36 23 0.7157 0.785398 0.0212286 0.0191755 0.235531 0.26075
0.4601 121 25 35 19 0.66619 0.785398 0.0240713 0.0199202 0.207716 0.251002
0.4701 115 18 42 25 0.834948 0.785398 0.0194303 0.020706 0.25733 0.241476
0.4801 114 26 35 25 0.684069 0.785398 0.0253051 0.0215361 0.197589 0.232168
0.4901 105 21 38 36 0.804182 0.785398 0.0218422 0.0224138 0.228915 0.223077
0.5001 118 22 36 24 0.645485 0.785398 0.0297059 0.0233429 0.168317 0.214198
0.5101 114 26 36 24 0.658811 0.785398 0.0302143 0.0243275 0.165485 0.205529
0.5201 110 27 33 30 0.591249 0.785398 0.0367142 0.0253721 0.136187 0.197067
0.5301 102 30 38 30 0.774176 0.785398 0.0269334 0.0264817 0.185643 0.18881
0.5401 98 34 44 24 0.922812 0.785398 0.0232195 0.0276619 0.215336 0.180754
0.5501 98 30 41 31 0.848949 0.785398 0.0264415 0.0289189 0.189097 0.172897
0.5601 111 31 40 18 0.69268 0.785398 0.0355299 0.0302595 0.140727 0.165237
0.5701 95 26 44 35 0.914499 0.785398 0.0266677 0.0316913 0.187493 0.157772
0.5801 91 36 43 30 0.92022 0.785398 0.0277159 0.033223 0.180402 0.150498
0.5901 110 30 39 21 0.610247 0.785398 0.0493745 0.0348641 0.101267 0.143414
0.6001 92 30 48 30 0.988314 0.785398 0.0282807 0.0366254 0.176799 0.136517
0.6101 90 37 38 35 0.761079 0.785398 0.0401198 0.038519 0.124627 0.129806
0.6201 90 28 39 43 0.769861 0.785398 0.0416269 0.0405587 0.120115 0.123278
0.6301 102 27 40 31 0.629204 0.785398 0.0584936 0.0427601 0.0854794 0.116931
0.6401 91 39 39 31 0.714059 0.785398 0.0514048 0.045141 0.0972671 0.110764
0.6501 85 31 43 41 0.885443 0.785398 0.0410374 0.0477215 0.12184 0.104775
0.6601 82 42 40 36 0.825012 0.785398 0.0473669 0.050525 0.105559 0.0989609
0.6701 101 31 37 31 0.363168 0.785398 0.190012 0.0535783 0.0263141 0.0933214
0.6801 75 42 50 33 1.14549 0.785398 0.0373052 0.0569122 0.134029 0.0878546
0.6901 90 32 51 27 0.946454 0.785398 0.0478361 0.0605628 0.104524 0.0825589
0.7001 85 35 44 36 0.810954 0.785398 0.0618073 0.0645719 0.0808966 0.077433
0.7101 96 31 27 46 nan 0.785398 nan 0.0689888 nan 0.0724755
0.7201 77 43 36 44 0.592474 0.785398 0.113734 0.0738715 0.0439621 0.0676851
0.7301 64 33 62 41 1.53345 0.785398 0.0436315 0.0792887 0.114596 0.0630607
0.7401 79 45 39 37 0.606527 0.785398 0.127021 0.0853225 0.0393636 0.0586012
0.7501 76 34 42 48 0.766173 0.785398 0.0954324 0.0920714 0.0523931 0.0543057
0.7601 91 35 39 35 nan 0.785398 nan 0.0996548 nan 0.0501732
0.7701 78 43 38 41 0.396638 0.785398 0.343448 0.108218 0.0145582 0.046203
0.7801 70 33 56 41 1.2575 0.785398 0.0688276 0.11794 0.0726453 0.0423944
0.7901 66 43 50 41 1.16197 0.785398 0.0799882 0.129042 0.0625093 0.0387469
0.8001 72 41 41 46 0.603504 0.785398 0.215526 0.141804 0.0231991 0.03526
0.8101 66 36 50 48 1.12394 0.785398 0.0995013 0.156576 0.0502506 0.0319334
0.8201 81 39 47 33 0.51342 0.785398 0.351157 0.173811 0.0142386 0.028767
0.8301 56 54 43 47 1.10168 0.785398 0.125155 0.194095 0.0399503 0.0257605
0.8401 72 40 57 31 1.13543 0.785398 0.136084 0.218205 0.036742 0.0229142
0.8501 68 43 42 47 0.435673 0.785398 0.678207 0.247178 0.00737238 0.0202283
0.8601 67 38 54 41 1.11776 0.785398 0.17803 0.282434 0.0280852 0.0177033
0.8701 61 45 47 47 0.971848 0.785398 0.241277 0.325954 0.020723 0.0153396
0.8801 65 44 55 36 1.17106 0.785398 0.22792 0.380574 0.0219375 0.0131381
0.8901 64 49 43 44 0.133957 0.785398 12.3833 0.450462 0.00040377 0.0110997
0.9001 63 36 52 49 1.01624 0.785398 0.377742 0.54196 0.0132365 0.00922578
0.9101 70 39 40 51 nan 0.785398 nan 0.6651 nan 0.00751766
0.9201 52 57 48 43 1.29708 0.785398 0.455499 0.836525 0.010977 0.00597711
0.9301 53 52 47 48 1.09372 0.785398 0.691199 1.08551 0.0072338 0.00460611
0.9401 55 49 52 44 1.32013 0.785398 0.786302 1.46757 0.00635888 0.003407
0.9501 52 52 54 42 1.77061 0.785398 1.09696 2.0987 0.00455807 0.00238243
0.9601 51 55 51 43 1.5708 0.785398 1.633 3.25638 0.00306185 0.00153545
0.9701 53 47 56 44 2.06464 0.785398 3.71181 5.75029 0.00134705 0.000869521
0.9801 46 55 60 39 nan 0.785398 nan 12.8674 nan 0.000388579
