Time abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
0 1 0 1 0 0 0
2.34866e-07 0.994886 0.0051142 0.997448 0.00255195 0.0803421 0.0229716
4.69732e-07 0.993339 0.00666126 0.999332 0.000668473 -0.0425303 -0.0478296
7.04598e-07 0.98697 0.0130296 0.993724 0.00627618 0.00259419 0.0259956
9.39464e-07 0.964316 0.0356836 0.976746 0.0232544 0.0884852 -0.0408452
1.17433e-06 0.930351 0.0696491 0.965824 0.0341762 0.0912968 0.145807
1.4092e-06 0.942643 0.0573574 0.9868 0.0132005 -0.112908 0.253163
1.64406e-06 0.88048 0.11952 0.921749 0.0782505 0.163025 -0.101692
1.87893e-06 0.871711 0.128289 0.95407 0.0459302 -0.0348195 0.0865375
2.11379e-06 0.854232 0.145768 0.933875 0.0661247 -0.00951472 0.148237
2.34866e-06 0.792176 0.207824 0.883095 0.116905 0.10556 0.0625689
2.58353e-06 0.795116 0.204884 0.915134 0.0848664 -0.0638557 0.198795
2.81839e-06 0.804229 0.195771 0.900036 0.0999636 -0.0736908 -0.0353448
3.05326e-06 0.773418 0.226582 0.847489 0.152511 0.0224962 0.124272
3.28812e-06 0.75386 0.24614 0.834061 0.165939 -0.0033694 0.026757
3.52299e-06 0.745571 0.254429 0.820492 0.179508 -0.030123 0.0381365
3.75786e-06 0.711447 0.288553 0.771943 0.228057 0.0281643 -0.00395776
3.99272e-06 0.710846 0.289154 0.777936 0.222064 -0.0481742 -0.0611966
4.22759e-06 0.667505 0.332495 0.711843 0.288157 0.0413649 0.223626
4.46245e-06 0.636554 0.363446 0.69243 0.30757 0.0209957 0.118132
4.69732e-06 0.620954 0.379046 0.676454 0.323546 -0.00680287 -0.0420387
4.93218e-06 0.5441 0.4559 0.587901 0.412099 0.114338 0.117574
5.16705e-06 0.479502 0.520498 0.567629 0.432371 0.0930782 -0.0289653
5.40192e-06 0.501434 0.498566 0.622912 0.377088 -0.0816031 -0.0665139
5.63678e-06 0.470882 0.529118 0.541885 0.458115 0.0202493 0.0213881
5.87165e-06 0.398937 0.601063 0.467954 0.532046 0.105514 0.146295
6.10651e-06 0.417918 0.582082 0.5284 0.4716 -0.0704135 -0.412016
6.34138e-06 0.356671 0.643329 0.42451 0.57549 0.0753579 0.0127146
6.57625e-06 0.312701 0.687299 0.409195 0.590805 0.0436189 0.0693959
6.81111e-06 0.241125 0.758875 0.344774 0.655226 0.114092 0.00552859
7.04598e-06 0.196728 0.803272 0.342698 0.657302 0.0625652 -0.374889
7.28084e-06 0.196892 0.803108 0.370414 0.629586 -0.0576731 -0.0161733
7.51571e-06 0.207924 0.792076 0.353224 0.646776 -0.0845931 0.166934
7.75058e-06 0.229102 0.770898 0.331873 0.668127 -0.102393 0.0783176
7.98544e-06 0.222892 0.777108 0.271202 0.728798 -0.0321216 -0.0463521
8.22031e-06 0.176311 0.823689 0.201872 0.798128 0.0690143 -0.00303397
8.45517e-06 0.202836 0.797164 0.252266 0.747734 -0.114163 0.0597544
8.69004e-06 0.179115 0.820885 0.17275 0.82725 0.0182158 0.0790325
8.92491e-06 0.176713 0.823287 0.167288 0.832712 -0.0300346 0.144031
9.15977e-06 0.195365 0.804635 0.16026 0.83974 -0.0738573 0.115396
9.39464e-06 0.124558 0.875442 0.0635107 0.936489 0.178049 -0.00305477
9.6295e-06 0.0992492 0.900751 0.0756193 0.924381 0.0676186 0.105594
9.86437e-06 0.0536215 0.946379 0.0374983 0.962502 0.172271 0.171077
1.00992e-05 0.0415102 0.95849 0.0448465 0.955154 0.0726413 0.0505615
1.03341e-05 0.0431571 0.956843 0.0440062 0.955994 0.0177365 -0.19384
1.0569e-05 0.0372005 0.9628 0.0264513 0.973549 0.0524328 -0.0241481
1.08038e-05 0.0243408 0.975659 0.0115219 0.988478 0.103079 0.0040839
1.10387e-05 0.0395045 0.960496 0.0250535 0.974946 -0.0507964 -0.294541
1.12736e-05 0.0429259 0.957074 0.00946314 0.990537 0.0104168 0.225539
1.15084e-05 0.0566233 0.943377 0.00805022 0.99195 -0.0184023 -0.26151
1.17433e-05 0.0894869 0.910513 0.00912824 0.990872 -0.0903456 0.4007
1.19782e-05 0.125527 0.874473 0.00400911 0.995991 -0.0610137 -0.0744541
1.2213e-05 0.15701 0.84299 0.00281244 0.997188 -0.0359432 -0.242087
1.24479e-05 0.20414 0.79586 0.00520398 0.994796 -0.0757238 0.37078
1.26828e-05 0.264979 0.735021 0.0098588 0.990141 -0.0843932 -0.123854
1.29176e-05 0.28989 0.71011 0.00656152 0.993438 0.0012201 0.0743067
1.31525e-05 0.334325 0.665675 0.0163934 0.983607 -0.0370123 0.0483134
1.33874e-05 0.342504 0.657496 0.0139193 0.986081 0.042776 0.0243328
