Noise Level,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,1,0,1,0
0.01,2.34866e-07,0.99944,0.000559602,0.998967,0.00103336
0.01,4.69732e-07,0.996428,0.0035724,0.99426,0.00574001
0.01,7.04598e-07,0.992305,0.00769534,0.990265,0.00973507
0.01,9.39464e-07,0.984183,0.0158166,0.980374,0.0196258
0.01,1.17433e-06,0.971033,0.0289675,0.968492,0.0315081
0.01,1.4092e-06,0.957361,0.0426389,0.959732,0.0402684
0.01,1.64406e-06,0.949421,0.0505789,0.954352,0.0456478
0.01,1.87893e-06,0.93695,0.0630503,0.936386,0.0636136
0.01,2.11379e-06,0.915843,0.0841574,0.912735,0.0872647
0.01,2.34866e-06,0.900234,0.0997656,0.902454,0.0975464
0.01,2.58353e-06,0.884435,0.115565,0.884058,0.115942
0.01,2.81839e-06,0.858409,0.141591,0.853844,0.146156
0.01,3.05326e-06,0.828637,0.171363,0.829395,0.170605
0.01,3.28812e-06,0.797687,0.202313,0.806158,0.193842
0.01,3.52299e-06,0.761986,0.238014,0.777954,0.222046
0.01,3.75786e-06,0.730139,0.269861,0.756834,0.243166
0.01,3.99272e-06,0.68965,0.31035,0.722074,0.277926
0.01,4.22759e-06,0.662587,0.337413,0.707888,0.292112
0.01,4.46245e-06,0.635689,0.364311,0.679753,0.320247
0.01,4.69732e-06,0.601948,0.398052,0.643767,0.356233
0.01,4.93218e-06,0.566769,0.433231,0.612539,0.387461
0.01,5.16705e-06,0.551624,0.448376,0.601892,0.398108
0.01,5.40192e-06,0.521002,0.478998,0.555444,0.444556
0.01,5.63678e-06,0.487754,0.512246,0.521502,0.478498
0.01,5.87165e-06,0.460433,0.539567,0.495973,0.504027
0.01,6.10651e-06,0.422131,0.577869,0.453302,0.546698
0.01,6.34138e-06,0.387217,0.612783,0.425522,0.574478
0.01,6.57625e-06,0.350925,0.649075,0.392787,0.607213
0.01,6.81111e-06,0.314998,0.685002,0.361649,0.638351
0.01,7.04598e-06,0.285244,0.714756,0.336979,0.663021
0.01,7.28084e-06,0.259053,0.740947,0.310436,0.689564
0.01,7.51571e-06,0.225182,0.774818,0.27252,0.72748
0.01,7.75058e-06,0.196388,0.803612,0.248629,0.751371
0.01,7.98544e-06,0.171816,0.828184,0.225014,0.774986
0.01,8.22031e-06,0.144836,0.855164,0.195058,0.804942
0.01,8.45517e-06,0.120696,0.879304,0.171761,0.828239
0.01,8.69004e-06,0.101753,0.898247,0.15249,0.84751
0.01,8.92491e-06,0.0873294,0.912671,0.13391,0.86609
0.01,9.15977e-06,0.0706096,0.92939,0.10903,0.89097
0.01,9.39464e-06,0.0616018,0.938398,0.0975313,0.902469
0.01,9.6295e-06,0.047922,0.952078,0.073322,0.926678
0.01,9.86437e-06,0.0360648,0.963935,0.0578925,0.942107
0.01,1.00992e-05,0.0325173,0.967483,0.0520287,0.947971
0.01,1.03341e-05,0.0245936,0.975406,0.0333081,0.966692
0.01,1.0569e-05,0.0158569,0.984143,0.0200048,0.979995
0.01,1.08038e-05,0.0114099,0.98859,0.0138888,0.986111
0.01,1.10387e-05,0.00937968,0.99062,0.00772967,0.99227
0.01,1.12736e-05,0.0117142,0.988286,0.00470919,0.995291
0.01,1.15084e-05,0.0135062,0.986494,0.000660903,0.999339
0.01,1.17433e-05,0.0187062,0.981294,5.93163e-06,0.999994
0.01,1.19782e-05,0.0235865,0.976414,0.000871973,0.999128
0.01,1.2213e-05,0.038484,0.961516,0.00696688,0.993033
0.01,1.24479e-05,0.0521737,0.947826,0.0105248,0.989475
0.01,1.26828e-05,0.0614321,0.938568,0.0142687,0.985731
0.01,1.29176e-05,0.0710407,0.928959,0.0220835,0.977917
0.01,1.31525e-05,0.0885992,0.911401,0.0369081,0.963092
0.01,1.33874e-05,0.105164,0.894836,0.0471257,0.952874
0.01,1.36222e-05,0.130244,0.869756,0.0664925,0.933508
0.01,1.38571e-05,0.153396,0.846604,0.0797661,0.920234
0.01,1.4092e-05,0.174117,0.825883,0.0944427,0.905557
0.01,1.43268e-05,0.19205,0.80795,0.110052,0.889948
0.01,1.45617e-05,0.214471,0.785529,0.133551,0.866449
0.01,1.47966e-05,0.24128,0.75872,0.158555,0.841445
0.01,1.50314e-05,0.273202,0.726798,0.185364,0.814636
0.01,1.52663e-05,0.302204,0.697796,0.206738,0.793262
0.01,1.55012e-05,0.334972,0.665028,0.23559,0.76441
0.01,1.5736e-05,0.367208,0.632792,0.261356,0.738644
0.01,1.59709e-05,0.393744,0.606256,0.283655,0.716345
0.01,1.62058e-05,0.434303,0.565697,0.325342,0.674658
0.01,1.64406e-05,0.456596,0.543404,0.337328,0.662672
0.01,1.66755e-05,0.490785,0.509215,0.378677,0.621323
0.01,1.69103e-05,0.525012,0.474988,0.40909,0.59091
