Time theta phi abs_alpha2 abs_beta2
0 3.14159 0 3.7494e-33 1
7.14485e-13 3.14159 -1.57069 3.54457e-25 1
1.42897e-12 3.14159 -2.35613 7.09056e-25 1
2.14346e-12 3.14159 -2.97159 1.06391e-24 1
2.85794e-12 3.14159 -3.49511 1.41874e-24 1
3.57243e-12 3.14159 2.32453 1.77333e-24 1
4.28691e-12 3.14159 1.90407 2.12772e-24 1
5.0014e-12 3.14159 1.51653 2.4821e-24 1
5.71588e-12 3.14159 1.1552 2.83676e-24 1
6.43037e-12 3.14159 0.815407 3.19126e-24 1
7.14485e-12 3.14159 0.493689 3.54569e-24 1
7.85934e-12 3.14159 0.187437 3.90033e-24 1
8.57383e-12 3.14159 -0.105379 4.25537e-24 1
9.28831e-12 3.14159 -0.386373 4.61061e-24 1
1.00028e-11 3.14159 -0.656867 4.96523e-24 1
1.07173e-11 3.14159 -0.91797 5.31966e-24 1
1.14318e-11 3.14159 -1.1706 5.67467e-24 1
1.21463e-11 3.14159 -1.41553 6.02914e-24 1
1.28607e-11 3.14159 -1.65342 6.38425e-24 1
1.35752e-11 3.14159 -1.88485 6.73914e-24 1
1.42897e-11 3.14159 -2.1103 7.09416e-24 1
1.50042e-11 3.14159 -2.33023 7.4486e-24 1
1.57187e-11 3.14159 -2.54502 7.80299e-24 1
1.64332e-11 3.14159 -2.75503 8.158e-24 1
1.71477e-11 3.14159 -2.96055 8.51313e-24 1
1.78621e-11 3.14159 -3.16185 8.8679e-24 1
1.85766e-11 3.14159 2.924 9.22316e-24 1
1.92911e-11 3.14159 2.7304 9.57852e-24 1
2.00056e-11 3.14159 2.54034 9.93361e-24 1
2.07201e-11 3.14159 2.35363 1.0288e-23 1
2.14346e-11 3.14159 2.17009 1.06429e-23 1
2.2149e-11 3.14159 1.98957 1.09978e-23 1
2.28635e-11 3.14159 1.81193 1.13526e-23 1
2.3578e-11 3.14159 1.63702 1.1707e-23 1
2.42925e-11 3.14159 1.46473 1.20622e-23 1
2.5007e-11 3.14159 1.29494 1.24164e-23 1
2.57215e-11 3.14159 1.12755 1.2771e-23 1
2.6436e-11 3.14159 0.96246 1.31257e-23 1
2.71504e-11 3.14159 0.799573 1.34804e-23 1
2.78649e-11 3.14159 0.638806 1.38349e-23 1
2.85794e-11 3.14159 0.480078 1.41907e-23 1
2.92939e-11 3.14159 0.323319 1.45458e-23 1
3.00084e-11 3.14159 0.168454 1.49003e-23 1
3.07229e-11 3.14159 0.0154139 1.52555e-23 1
3.14374e-11 3.14159 -0.135862 1.56096e-23 1
3.21518e-11 3.14159 -0.285437 1.59643e-23 1
3.28663e-11 3.14159 -0.433366 1.63193e-23 1
3.35808e-11 3.14159 -0.5797 1.66747e-23 1
3.42953e-11 3.14159 -0.724489 1.70301e-23 1
3.50098e-11 3.14159 -0.867779 1.73857e-23 1
3.57243e-11 3.14159 -1.00962 1.77412e-23 1
3.64388e-11 3.14159 -1.15004 1.80964e-23 1
3.71532e-11 3.14159 -1.2891 1.84514e-23 1
3.78677e-11 3.14159 -1.42684 1.8806e-23 1
3.85822e-11 3.14159 -1.56328 1.91601e-23 1
3.92967e-11 3.14159 -1.69848 1.95155e-23 1
4.00112e-11 3.14159 -1.83245 1.98703e-23 1
