Time theta phi abs_alpha2 abs_beta2
0 0 0 1 0
2.34866e-07 0 -0.304396 1 0
4.69732e-07 0 -0.304396 1 0
7.04598e-07 0 -0.304396 1 0
9.39464e-07 0 -0.304396 1 0
1.17433e-06 0 -0.304396 1 0
1.4092e-06 0 -0.304396 1 0
1.64406e-06 0 -0.304396 1 0
1.87893e-06 0 -0.304396 1 0
2.11379e-06 0 -0.304396 1 0
2.34866e-06 0 -0.304396 1 0
2.58353e-06 0 -0.304396 1 0
2.81839e-06 0 -0.304396 1 0
3.05326e-06 0 -0.304396 1 0
3.28812e-06 0 -0.304396 1 0
3.52299e-06 0 -0.304396 1 0
3.75786e-06 0 -0.304396 1 0
3.99272e-06 0 -0.304396 1 0
4.22759e-06 0 -0.304396 1 0
4.46245e-06 0 -0.304396 1 0
4.69732e-06 0 -0.304396 1 0
4.93218e-06 0 -0.304396 1 0
5.16705e-06 0 -0.304396 1 0
5.40192e-06 0 -0.304396 1 0
5.63678e-06 0 -0.304396 1 0
5.87165e-06 0 -0.304396 1 0
6.10651e-06 0 -0.304396 1 0
6.34138e-06 0 -0.304396 1 0
6.57625e-06 0 -0.304396 1 0
6.81111e-06 0 -0.304396 1 0
7.04598e-06 0 -0.304396 1 0
7.28084e-06 0 -0.304396 1 0
7.51571e-06 0 -0.304396 1 0
7.75058e-06 0 -0.304396 1 0
7.98544e-06 0 -0.304396 1 0
8.22031e-06 0 -0.304396 1 0
8.45517e-06 0 -0.304396 1 0
8.69004e-06 0 -0.304396 1 0
8.92491e-06 0 -0.304396 1 0
9.15977e-06 0 -0.304396 1 0
9.39464e-06 0 -0.304396 1 0
9.6295e-06 0 -0.304396 1 0
9.86437e-06 0 -0.304396 1 0
1.00992e-05 0 -0.304396 1 0
1.03341e-05 0 -0.304396 1 0
1.0569e-05 0 -0.304396 1 0
1.08038e-05 0 -0.304396 1 0
1.10387e-05 0 -0.304396 1 0
1.12736e-05 0 -0.304396 1 0
1.15084e-05 0 -0.304396 1 0
1.17433e-05 0 -0.304396 1 0
1.19782e-05 0 -0.304396 1 0
1.2213e-05 0 -0.304396 1 0
1.24479e-05 0 -0.304396 1 0
1.26828e-05 0 -0.304396 1 0
1.29176e-05 0 -0.304396 1 0
1.31525e-05 0 -0.304396 1 0
1.33874e-05 0 -0.304396 1 0
1.36222e-05 0 -0.304396 1 0
1.38571e-05 0 -0.304396 1 0
1.4092e-05 0 -0.304396 1 0
1.43268e-05 0 -0.304396 1 0
1.45617e-05 0 -0.304396 1 0
1.47966e-05 0 -0.304396 1 0
1.50314e-05 0 -0.304396 1 0
1.52663e-05 0 -0.304396 1 0
1.55012e-05 0 -0.304396 1 0
1.5736e-05 0 -0.304396 1 0
1.59709e-05 0 -0.304396 1 0
1.62058e-05 0 -0.304396 1 0
1.64406e-05 0 -0.304396 1 0
1.66755e-05 0 -0.304396 1 0
1.69103e-05 0 -0.304396 1 0
1.71452e-05 0 -0.304396 1 0
1.73801e-05 0 -0.304396 1 0
1.76149e-05 0 -0.304396 1 0
1.78498e-05 0 -0.304396 1 0
1.80847e-05 0 -0.304396 1 0
1.83195e-05 0 -0.304396 1 0
1.85544e-05 0 -0.304396 1 0
1.87893e-05 0 -0.304396 1 0
1.90241e-05 0 -0.304396 1 0
1.9259e-05 0 -0.304396 1 0
1.94939e-05 0 -0.304396 1 0
1.97287e-05 0 -0.304396 1 0
1.99636e-05 0 -0.304396 1 0
2.01985e-05 0 -0.304396 1 0
2.04333e-05 0 -0.304396 1 0
2.06682e-05 0 -0.304396 1 0
2.09031e-05 0 -0.304396 1 0
2.11379e-05 0 -0.304396 1 0
2.13728e-05 0 -0.304396 1 0
2.16077e-05 0 -0.304396 1 0
2.18425e-05 0 -0.304396 1 0
2.20774e-05 0 -0.304396 1 0
2.23123e-05 0 -0.304396 1 0
2.25471e-05 0 -0.304396 1 0
2.2782e-05 0 -0.304396 1 0
2.30169e-05 0 -0.304396 1 0
2.32517e-05 0 -0.304396 1 0
2.34866e-05 0 -0.304396 1 0
2.37215e-05 0 -0.304396 1 0
2.39563e-05 0 -0.304396 1 0
2.41912e-05 0 -0.304396 1 0
2.44261e-05 0 -0.304396 1 0
2.46609e-05 0 -0.304396 1 0
2.48958e-05 0 -0.304396 1 0
2.51307e-05 0 -0.304396 1 0
2.53655e-05 0 -0.304396 1 0
2.56004e-05 0 -0.304396 1 0
2.58353e-05 0 -0.304396 1 0
2.60701e-05 0 -0.304396 1 0
2.6305e-05 0 -0.304396 1 0
2.65399e-05 0 -0.304396 1 0
2.67747e-05 0 -0.304396 1 0
2.70096e-05 0 -0.304396 1 0
2.72445e-05 0 -0.304396 1 0
2.74793e-05 0 -0.304396 1 0
2.77142e-05 0 -0.304396 1 0
2.7949e-05 0 -0.304396 1 0
2.81839e-05 0 -0.304396 1 0
2.84188e-05 0 -0.304396 1 0
2.86536e-05 0 -0.304396 1 0
2.88885e-05 0 -0.304396 1 0
2.91234e-05 0 -0.304396 1 0
2.93582e-05 0 -0.304396 1 0
2.95931e-05 0 -0.304396 1 0
2.9828e-05 0 -0.304396 1 0
3.00628e-05 0 -0.304396 1 0
3.02977e-05 0 -0.304396 1 0
3.05326e-05 0 -0.304396 1 0
3.07674e-05 0 -0.304396 1 0
3.10023e-05 0 -0.304396 1 0
3.12372e-05 0 -0.304396 1 0
3.1472e-05 0 -0.304396 1 0
3.17069e-05 0 -0.304396 1 0
3.19418e-05 0 -0.304396 1 0
3.21766e-05 0 -0.304396 1 0
3.24115e-05 0 -0.304396 1 0
3.26464e-05 0 -0.304396 1 0
3.28812e-05 0 -0.304396 1 0
3.31161e-05 0 -0.304396 1 0
3.3351e-05 0 -0.304396 1 0
3.35858e-05 0 -0.304396 1 0
3.38207e-05 0 -0.304396 1 0
3.40556e-05 0 -0.304396 1 0
3.42904e-05 0 -0.304396 1 0
3.45253e-05 0 -0.304396 1 0
3.47602e-05 0 -0.304396 1 0
3.4995e-05 0 -0.304396 1 0
3.52299e-05 0 -0.304396 1 0
3.54648e-05 0 -0.304396 1 0
3.56996e-05 0 -0.304396 1 0
3.59345e-05 0 -0.304396 1 0
3.61694e-05 0 -0.304396 1 0
3.64042e-05 0 -0.304396 1 0
3.66391e-05 0 -0.304396 1 0
3.6874e-05 0 -0.304396 1 0
3.71088e-05 0 -0.304396 1 0
3.73437e-05 0 -0.304396 1 0
3.75786e-05 0 -0.304396 1 0
3.78134e-05 0 -0.304396 1 0
3.80483e-05 0 -0.304396 1 0
3.82832e-05 0 -0.304396 1 0
3.8518e-05 0 -0.304396 1 0
3.87529e-05 0 -0.304396 1 0
3.89877e-05 0 -0.304396 1 0
3.92226e-05 0 -0.304396 1 0
3.94575e-05 0 -0.304396 1 0
3.96923e-05 0 -0.304396 1 0
3.99272e-05 0 -0.304396 1 0
4.01621e-05 0 -0.304396 1 0
4.03969e-05 0 -0.304396 1 0
4.06318e-05 0 -0.304396 1 0
4.08667e-05 0 -0.304396 1 0
4.11015e-05 0 -0.304396 1 0
4.13364e-05 0 -0.304396 1 0
4.15713e-05 0 -0.304396 1 0
4.18061e-05 0 -0.304396 1 0
4.2041e-05 0 -0.304396 1 0
4.22759e-05 0 -0.304396 1 0
4.25107e-05 0 -0.304396 1 0
4.27456e-05 0 -0.304396 1 0
4.29805e-05 0 -0.304396 1 0
4.32153e-05 0 -0.304396 1 0
4.34502e-05 0 -0.304396 1 0
4.36851e-05 0 -0.304396 1 0
4.39199e-05 0 -0.304396 1 0
4.41548e-05 0 -0.304396 1 0
4.43897e-05 0 -0.304396 1 0
4.46245e-05 0 -0.304396 1 0
4.48594e-05 0 -0.304396 1 0
4.50943e-05 0 -0.304396 1 0
4.53291e-05 0 -0.304396 1 0
4.5564e-05 0 -0.304396 1 0
4.57989e-05 0 -0.304396 1 0
4.60337e-05 0 -0.304396 1 0
4.62686e-05 0 -0.304396 1 0
4.65035e-05 0 -0.304396 1 0
4.67383e-05 0 -0.304396 1 0
4.69732e-05 0 -0.304396 1 0
4.72081e-05 0 -0.304396 1 0
4.74429e-05 0 -0.304396 1 0
4.76778e-05 0 -0.304396 1 0
4.79127e-05 0 -0.304396 1 0
4.81475e-05 0 -0.304396 1 0
4.83824e-05 0 -0.304396 1 0
4.86173e-05 0 -0.304396 1 0
4.88521e-05 0 -0.304396 1 0
4.9087e-05 0 -0.304396 1 0
4.93218e-05 0 -0.304396 1 0
4.95567e-05 0 -0.304396 1 0
4.97916e-05 0 -0.304396 1 0
5.00264e-05 0 -0.304396 1 0
5.02613e-05 0 -0.304396 1 0
5.04962e-05 0 -0.304396 1 0
5.0731e-05 0 -0.304396 1 0
5.09659e-05 0 -0.304396 1 0
5.12008e-05 0 -0.304396 1 0
5.14356e-05 0 -0.304396 1 0
5.16705e-05 0 -0.304396 1 0
5.19054e-05 0 -0.304396 1 0
5.21402e-05 0 -0.304396 1 0
5.23751e-05 0 -0.304396 1 0
5.261e-05 0 -0.304396 1 0
5.28448e-05 0 -0.304396 1 0
5.30797e-05 0 -0.304396 1 0
5.33146e-05 0 -0.304396 1 0
5.35494e-05 0 -0.304396 1 0
5.37843e-05 0 -0.304396 1 0
5.40192e-05 0 -0.304396 1 0
5.4254e-05 0 -0.304396 1 0
5.44889e-05 0 -0.304396 1 0
5.47238e-05 0 -0.304396 1 0
5.49586e-05 0 -0.304396 1 0
5.51935e-05 0 -0.304396 1 0
5.54284e-05 0 -0.304396 1 0
5.56632e-05 0 -0.304396 1 0
5.58981e-05 0 -0.304396 1 0
5.6133e-05 0 -0.304396 1 0
5.63678e-05 0 -0.304396 1 0
5.66027e-05 0 -0.304396 1 0
5.68376e-05 0 -0.304396 1 0
5.70724e-05 0 -0.304396 1 0
5.73073e-05 0 -0.304396 1 0
5.75422e-05 0 -0.304396 1 0
5.7777e-05 0 -0.304396 1 0
5.80119e-05 0 -0.304396 1 0
5.82468e-05 0 -0.304396 1 0
5.84816e-05 0 -0.304396 1 0
5.87165e-05 0 -0.304396 1 0
5.89514e-05 0 -0.304396 1 0
5.91862e-05 0 -0.304396 1 0
5.94211e-05 0 -0.304396 1 0
5.9656e-05 0 -0.304396 1 0
5.98908e-05 0 -0.304396 1 0
6.01257e-05 0 -0.304396 1 0
6.03605e-05 0 -0.304396 1 0
6.05954e-05 0 -0.304396 1 0
6.08303e-05 0 -0.304396 1 0
6.10651e-05 0 -0.304396 1 0
6.13e-05 0 -0.304396 1 0
6.15349e-05 0 -0.304396 1 0
6.17697e-05 0 -0.304396 1 0
6.20046e-05 0 -0.304396 1 0
6.22395e-05 0 -0.304396 1 0
6.24743e-05 0 -0.304396 1 0
6.27092e-05 0 -0.304396 1 0
6.29441e-05 0 -0.304396 1 0
6.31789e-05 0 -0.304396 1 0
6.34138e-05 0 -0.304396 1 0
6.36487e-05 0 -0.304396 1 0
6.38835e-05 0 -0.304396 1 0
6.41184e-05 0 -0.304396 1 0
6.43533e-05 0 -0.304396 1 0
6.45881e-05 0 -0.304396 1 0
6.4823e-05 0 -0.304396 1 0
6.50579e-05 0 -0.304396 1 0
6.52927e-05 0 -0.304396 1 0
6.55276e-05 0 -0.304396 1 0
6.57625e-05 0 -0.304396 1 0
6.59973e-05 0 -0.304396 1 0
6.62322e-05 0 -0.304396 1 0
6.64671e-05 0 -0.304396 1 0
6.67019e-05 0 -0.304396 1 0
6.69368e-05 0 -0.304396 1 0
6.71717e-05 0 -0.304396 1 0
6.74065e-05 0 -0.304396 1 0
6.76414e-05 0 -0.304396 1 0
6.78763e-05 0 -0.304396 1 0
6.81111e-05 0 -0.304396 1 0
6.8346e-05 0 -0.304396 1 0
6.85809e-05 0 -0.304396 1 0
6.88157e-05 0 -0.304396 1 0
6.90506e-05 0 -0.304396 1 0
6.92855e-05 0 -0.304396 1 0
6.95203e-05 0 -0.304396 1 0
6.97552e-05 0 -0.304396 1 0
6.99901e-05 0 -0.304396 1 0
7.02249e-05 0 -0.304396 1 0
7.04598e-05 0 -0.304396 1 0
7.06947e-05 0 -0.304396 1 0
7.09295e-05 0 -0.304396 1 0
7.11644e-05 0 -0.304396 1 0
7.13992e-05 0 -0.304396 1 0
7.16341e-05 0 -0.304396 1 0
7.1869e-05 0 -0.304396 1 0
7.21038e-05 0 -0.304396 1 0
7.23387e-05 0 -0.304396 1 0
7.25736e-05 0 -0.304396 1 0
7.28084e-05 0 -0.304396 1 0
7.30433e-05 0 -0.304396 1 0
7.32782e-05 0 -0.304396 1 0
7.3513e-05 0 -0.304396 1 0
7.37479e-05 0 -0.304396 1 0
7.39828e-05 0 -0.304396 1 0
7.42176e-05 0 -0.304396 1 0
7.44525e-05 0 -0.304396 1 0
7.46874e-05 0 -0.304396 1 0
7.49222e-05 0 -0.304396 1 0
7.51571e-05 0 -0.304396 1 0
7.5392e-05 0 -0.304396 1 0
7.56268e-05 0 -0.304396 1 0
7.58617e-05 0 -0.304396 1 0
7.60966e-05 0 -0.304396 1 0
7.63314e-05 0 -0.304396 1 0
7.65663e-05 0 -0.304396 1 0
7.68012e-05 0 -0.304396 1 0
7.7036e-05 0 -0.304396 1 0
7.72709e-05 0 -0.304396 1 0
7.75058e-05 0 -0.304396 1 0
7.77406e-05 0 -0.304396 1 0
7.79755e-05 0 -0.304396 1 0
7.82104e-05 0 -0.304396 1 0
7.84452e-05 0 -0.304396 1 0
7.86801e-05 0 -0.304396 1 0
7.8915e-05 0 -0.304396 1 0
7.91498e-05 0 -0.304396 1 0
7.93847e-05 0 -0.304396 1 0
7.96196e-05 0 -0.304396 1 0
7.98544e-05 0 -0.304396 1 0
8.00893e-05 0 -0.304396 1 0
8.03242e-05 0 -0.304396 1 0
8.0559e-05 0 -0.304396 1 0
8.07939e-05 0 -0.304396 1 0
8.10288e-05 0 -0.304396 1 0
8.12636e-05 0 -0.304396 1 0
8.14985e-05 0 -0.304396 1 0
8.17334e-05 0 -0.304396 1 0
8.19682e-05 0 -0.304396 1 0
8.22031e-05 0 -0.304396 1 0
8.24379e-05 0 -0.304396 1 0
8.26728e-05 0 -0.304396 1 0
8.29077e-05 0 -0.304396 1 0
8.31425e-05 0 -0.304396 1 0
8.33774e-05 0 -0.304396 1 0
8.36123e-05 0 -0.304396 1 0
8.38471e-05 0 -0.304396 1 0
8.4082e-05 0 -0.304396 1 0
8.43169e-05 0 -0.304396 1 0
8.45517e-05 0 -0.304396 1 0
8.47866e-05 0 -0.304396 1 0
8.50215e-05 0 -0.304396 1 0
8.52563e-05 0 -0.304396 1 0
8.54912e-05 0 -0.304396 1 0
8.57261e-05 0 -0.304396 1 0
8.59609e-05 0 -0.304396 1 0
8.61958e-05 0 -0.304396 1 0
8.64307e-05 0 -0.304396 1 0
8.66655e-05 0 -0.304396 1 0
8.69004e-05 0 -0.304396 1 0
8.71353e-05 0 -0.304396 1 0
8.73701e-05 0 -0.304396 1 0
8.7605e-05 0 -0.304396 1 0
8.78399e-05 0 -0.304396 1 0
8.80747e-05 0 -0.304396 1 0
8.83096e-05 0 -0.304396 1 0
8.85445e-05 0 -0.304396 1 0
8.87793e-05 0 -0.304396 1 0
8.90142e-05 0 -0.304396 1 0
8.92491e-05 0 -0.304396 1 0
8.94839e-05 0 -0.304396 1 0
8.97188e-05 0 -0.304396 1 0
8.99537e-05 0 -0.304396 1 0
9.01885e-05 0 -0.304396 1 0
9.04234e-05 0 -0.304396 1 0
9.06583e-05 0 -0.304396 1 0
9.08931e-05 0 -0.304396 1 0
9.1128e-05 0 -0.304396 1 0
9.13629e-05 0 -0.304396 1 0
9.15977e-05 0 -0.304396 1 0
9.18326e-05 0 -0.304396 1 0
9.20675e-05 0 -0.304396 1 0
9.23023e-05 0 -0.304396 1 0
9.25372e-05 0 -0.304396 1 0
9.27721e-05 0 -0.304396 1 0
9.30069e-05 0 -0.304396 1 0
9.32418e-05 0 -0.304396 1 0
9.34766e-05 0 -0.304396 1 0
9.37115e-05 0 -0.304396 1 0
9.39464e-05 0 -0.304396 1 0
9.41812e-05 0 -0.304396 1 0
9.44161e-05 0 -0.304396 1 0
9.4651e-05 0 -0.304396 1 0
9.48858e-05 0 -0.304396 1 0
9.51207e-05 0 -0.304396 1 0
9.53556e-05 0 -0.304396 1 0
9.55904e-05 0 -0.304396 1 0
9.58253e-05 0 -0.304396 1 0
9.60602e-05 0 -0.304396 1 0
9.6295e-05 0 -0.304396 1 0
9.65299e-05 0 -0.304396 1 0
9.67648e-05 0 -0.304396 1 0
9.69996e-05 0 -0.304396 1 0
9.72345e-05 0 -0.304396 1 0
