Time theta phi abs_alpha2 abs_beta2
0 0 0 1 0
2.34866e-07 0.10608 3.00149 0.997189 0.00281061
4.69732e-07 0.038027 2.4342 0.999639 0.00036147
7.04598e-07 0.132412 1.76697 0.995623 0.00437683
9.39464e-07 0.013116 1.5946 0.999957 4.30064e-05
1.17433e-06 0.0781763 1.19804 0.998473 0.00152711
1.4092e-06 0.103353 -2.16101 0.997332 0.00266809
1.64406e-06 0.0119125 -2.47586 0.999965 3.54764e-05
1.87893e-06 0.0806649 0.0816069 0.998374 0.00162582
2.11379e-06 0.0038929 -0.134878 0.999996 3.78865e-06
2.34866e-06 0.0141776 2.53048 0.99995 5.02502e-05
2.58353e-06 0.026518 -0.931501 0.999824 0.000175791
2.81839e-06 0.00392527 1.38407 0.999996 3.85194e-06
3.05326e-06 0.016849 -2.23173 0.999929 7.09701e-05
3.28812e-06 0.0742053 0.511653 0.998624 0.00137597
3.52299e-06 0.0905333 0.0915635 0.997952 0.00204767
3.75786e-06 0.0158763 -0.449648 0.999937 6.30132e-05
3.99272e-06 0.00649262 -0.83374 0.999989 1.05385e-05
4.22759e-06 0.00815721 -1.03406 0.999983 1.66349e-05
4.46245e-06 0.143452 2.04386 0.994864 0.00513584
4.69732e-06 0.026851 1.48714 0.99982 0.000180233
4.93218e-06 0.164455 -1.91183 0.993254 0.00674617
5.16705e-06 0.154636 -2.10997 0.994034 0.00596613
5.40192e-06 0.0121635 -2.48993 0.999963 3.6987e-05
5.63678e-06 0.006987 0.458178 0.999988 1.22045e-05
5.87165e-06 0.0588083 -3.00697 0.999136 0.000864355
6.10651e-06 0.0273893 2.88042 0.999812 0.000187532
6.34138e-06 0.0209217 2.47711 0.999891 0.000109426
6.57625e-06 0.0677801 2.09236 0.998852 0.0011481
6.81111e-06 0.0912775 1.62529 0.997919 0.00208145
7.04598e-06 0.0209547 1.18554 0.99989 0.000109771
7.28084e-06 0.0451482 -2.32154 0.99949 0.000509503
7.51571e-06 0.0600178 -2.62955 0.9991 0.000900263
7.75058e-06 0.0690908 0.378771 0.998807 0.00119291
7.98544e-06 0.00583667 3.11377 0.999991 8.51666e-06
8.22031e-06 0.00489681 2.72211 0.999994 5.99469e-06
8.45517e-06 0.0497583 -0.756667 0.999381 0.000618844
8.69004e-06 0.129544 1.49005 0.99581 0.00418958
8.92491e-06 0.0699371 -2.05486 0.998778 0.0012223
9.15977e-06 0.00752481 -2.31228 0.999986 1.41556e-05
9.39464e-06 0.0384036 0.16553 0.999631 0.000368663
9.6295e-06 0.00912782 -0.30764 0.999979 2.08291e-05
9.86437e-06 0.0729191 -0.59087 0.998671 0.00132871
1.00992e-05 0.00736493 -0.554655 0.999986 1.35605e-05
1.03341e-05 0.0631155 1.99453 0.999004 0.00099556
1.0569e-05 0.0638934 1.78638 0.99898 0.00102025
1.08038e-05 0.020901 -1.41557 0.999891 0.000109209
1.10387e-05 0.112169 -1.63474 0.996858 0.00314219
1.12736e-05 0.0324822 -2.01636 0.999736 0.00026375
1.15084e-05 0.145662 -2.51329 0.994705 0.00529497
1.17433e-05 0.0314918 -3.04882 0.999752 0.000247913
1.19782e-05 0.0387159 2.96677 0.999625 0.000374684
1.2213e-05 0.019782 2.53414 0.999902 9.78287e-05
1.24479e-05 0.029544 2.30415 0.999782 0.000218196
1.26828e-05 0.125367 2.02973 0.996076 0.0039241
1.29176e-05 0.0696588 -1.59963 0.998787 0.0012126
1.31525e-05 0.175725 -2.12437 0.9923 0.00769999
1.33874e-05 0.0195668 0.833218 0.999904 9.57114e-05
1.36222e-05 0.0183736 -2.61646 0.999916 8.43953e-05
1.38571e-05 0.0277179 0.0880175 0.999808 0.000192059
1.4092e-05 0.0973676 -0.54194 0.997632 0.00236824
1.43268e-05 0.0680525 2.19634 0.998843 0.00115734
1.45617e-05 0.0838451 2.06413 0.998244 0.00175647
1.47966e-05 0.0696316 -1.7116 0.998788 0.00121165
1.50314e-05 0.117277 -2.12798 0.996565 0.00343452
1.52663e-05 0.0928477 0.543238 0.997846 0.00215363
1.55012e-05 0.0502249 0.362861 0.999369 0.000630502
