Time abs_alpha2 abs_beta2
0 1 0
2.34866e-07 0.999 0.000985853
4.69732e-07 0.996032 0.00393947
7.04598e-07 0.991108 0.00884911
9.39464e-07 0.984247 0.0156953
1.17433e-06 0.975477 0.0244511
1.4092e-06 0.964832 0.0350817
1.64406e-06 0.952354 0.0475452
1.87893e-06 0.938093 0.0617923
2.11379e-06 0.922104 0.0777669
2.34866e-06 0.904451 0.0954058
2.58353e-06 0.885203 0.114639
2.81839e-06 0.864436 0.135392
3.05326e-06 0.842232 0.157581
3.28812e-06 0.818679 0.181119
3.52299e-06 0.79387 0.205914
3.75786e-06 0.767902 0.231868
3.99272e-06 0.740878 0.258877
4.22759e-06 0.712905 0.286837
4.46245e-06 0.684092 0.315635
4.69732e-06 0.654553 0.345159
4.93218e-06 0.624406 0.375293
5.16705e-06 0.593768 0.405916
5.40192e-06 0.56276 0.436909
5.63678e-06 0.531505 0.46815
5.87165e-06 0.500127 0.499514
6.10651e-06 0.468748 0.530879
6.34138e-06 0.437492 0.56212
6.57625e-06 0.406483 0.593115
6.81111e-06 0.375843 0.623741
7.04598e-06 0.345692 0.653877
7.28084e-06 0.31615 0.683405
7.51571e-06 0.287333 0.712207
7.75058e-06 0.259355 0.740171
7.98544e-06 0.232325 0.767187
8.22031e-06 0.206351 0.793147
8.45517e-06 0.181534 0.817949
8.69004e-06 0.157973 0.841495
8.92491e-06 0.135761 0.863694
9.15977e-06 0.114984 0.884456
9.39464e-06 0.095725 0.903701
9.6295e-06 0.0780597 0.921351
9.86437e-06 0.0620577 0.937339
1.00992e-05 0.0477819 0.951601
1.03341e-05 0.0352885 0.96408
1.0569e-05 0.0246269 0.974727
1.08038e-05 0.0158388 0.983501
1.10387e-05 0.008959 0.990366
1.12736e-05 0.00401441 0.995296
1.15084e-05 0.00102447 0.998272
1.17433e-05 9.06597e-07 0.999281
1.19782e-05 0.000947656 0.99832
1.2213e-05 0.0038609 0.995392
1.24479e-05 0.00872908 0.99051
1.26828e-05 0.0155329 0.983692
1.29176e-05 0.0242454 0.974965
1.31525e-05 0.0348323 0.964364
1.33874e-05 0.0472516 0.95193
1.36222e-05 0.0614543 0.937713
1.38571e-05 0.0773843 0.921769
1.4092e-05 0.0949787 0.90416
1.43268e-05 0.114168 0.884956
1.45617e-05 0.134877 0.864233
1.47966e-05 0.157023 0.842073
1.50314e-05 0.180519 0.818562
1.52663e-05 0.205273 0.793794
1.55012e-05 0.231186 0.767867
1.5736e-05 0.258156 0.740882
1.59709e-05 0.286078 0.712946
1.62058e-05 0.314841 0.684169
1.64406e-05 0.344331 0.654664
1.66755e-05 0.374432 0.624549
1.69103e-05 0.405025 0.593941
1.71452e-05 0.43599 0.562962
1.73801e-05 0.467204 0.531734
1.76149e-05 0.498545 0.500379
1.78498e-05 0.529888 0.469021
1.80847e-05 0.56111 0.437784
1.83195e-05 0.592089 0.406791
1.85544e-05 0.622701 0.376165
1.87893e-05 0.652826 0.346025
1.90241e-05 0.682346 0.316491
1.9259e-05 0.711143 0.28768
1.94939e-05 0.739104 0.259704
1.97287e-05 0.76612 0.232674
1.99636e-05 0.792082 0.206697
2.01985e-05 0.81689 0.181875
2.04333e-05 0.840445 0.158306
2.06682e-05 0.862655 0.136082
2.09031e-05 0.883431 0.115291
2.11379e-05 0.902692 0.0960159
2.13728e-05 0.920362 0.0783316
2.16077e-05 0.936371 0.062308
2.18425e-05 0.950657 0.0480082
2.20774e-05 0.963162 0.0354887
2.23123e-05 0.973838 0.0247986
