Time abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
0 1 0 1 0 0 0
2.34866e-07 0.998197 0.00180297 0.998885 0.00111544 0.0221409 0.0101737
4.69732e-07 0.991368 0.0086322 0.994857 0.00514322 0.0383339 0.0405495
7.04598e-07 0.979538 0.0204622 0.989464 0.0105358 0.0382327 0.0139027
9.39464e-07 0.987442 0.0125578 0.997274 0.00272645 -0.125227 0.135436
1.17433e-06 0.966365 0.0336347 0.965306 0.0346942 0.0822428 -0.03174
1.4092e-06 0.960564 0.0394363 0.974014 0.0259857 -0.0315543 0.0254066
1.64406e-06 0.944772 0.055228 0.954454 0.0455463 0.0121898 0.127922
1.87893e-06 0.961411 0.0385892 0.971668 0.028332 -0.140322 -0.258904
2.11379e-06 0.945404 0.0545964 0.925573 0.0744268 0.0134933 0.271751
2.34866e-06 0.939375 0.0606255 0.922268 0.0777319 -0.0355044 -0.207711
2.58353e-06 0.883898 0.116102 0.848901 0.151099 0.135035 -0.0227868
2.81839e-06 0.861591 0.138409 0.873429 0.126571 0.00421251 0.314766
3.05326e-06 0.838603 0.161397 0.85233 0.14767 0.00407033 -0.197813
3.28812e-06 0.759916 0.240084 0.777571 0.222429 0.134656 -0.0179593
3.52299e-06 0.734246 0.265754 0.80814 0.19186 -0.00365599 0.000871488
3.75786e-06 0.764733 0.235267 0.83374 0.16626 -0.133115 -0.0802248
3.99272e-06 0.69323 0.30677 0.711457 0.288543 0.0984025 -0.0834519
4.22759e-06 0.615879 0.384121 0.68245 0.31755 0.100491 -0.249487
4.46245e-06 0.574439 0.425561 0.688124 0.311876 0.025616 -0.0882928
4.69732e-06 0.559171 0.440829 0.682905 0.317095 -0.0259583 0.00596773
4.93218e-06 0.539758 0.460242 0.649602 0.350398 -0.0179881 -0.085746
5.16705e-06 0.550782 0.449218 0.648692 0.351308 -0.0767464 -0.28293
5.40192e-06 0.484863 0.515137 0.537193 0.462807 0.0881273 0.0575012
5.63678e-06 0.458054 0.541946 0.546178 0.453822 0.00728161 -0.0398172
5.87165e-06 0.429258 0.570742 0.513062 0.486938 0.0134104 0.266589
6.10651e-06 0.389934 0.610066 0.475834 0.524166 0.0255004 0.0961313
6.34138e-06 0.366443 0.633557 0.46155 0.53845 -0.00863408 0.0226735
6.57625e-06 0.386198 0.613802 0.474925 0.525075 -0.0982587 -0.0157437
6.81111e-06 0.344834 0.655166 0.381012 0.618988 0.0290479 -0.0429498
7.04598e-06 0.329172 0.670828 0.376179 0.623821 -0.0222892 0.197445
7.28084e-06 0.266519 0.733481 0.299565 0.700435 0.0771942 -0.0741863
7.51571e-06 0.229146 0.770854 0.293184 0.706816 0.0284237 -0.071056
7.75058e-06 0.163924 0.836076 0.230404 0.769596 0.108739 0.0307732
7.98544e-06 0.169523 0.830477 0.281434 0.718566 -0.0711421 -0.0369083
8.22031e-06 0.151462 0.848538 0.225685 0.774315 -0.00494284 0.122587
8.45517e-06 0.114113 0.885887 0.177684 0.822316 0.0534035 0.172645
8.69004e-06 0.0784235 0.921576 0.151634 0.848366 0.0612959 0.071763
8.92491e-06 0.040957 0.959043 0.117568 0.882432 0.0991211 -0.184489
9.15977e-06 0.0399129 0.960087 0.147049 0.852951 -0.0505899 -0.121117
9.39464e-06 0.0220617 0.977938 0.0928286 0.907171 0.0552847 0.120557
9.6295e-06 0.00647173 0.993528 0.0672555 0.932745 0.0882144 0.142482
9.86437e-06 0.00338305 0.996617 0.0743244 0.925676 -0.00109305 0.112231
1.00992e-05 1.75747e-05 0.999982 0.0382935 0.961706 0.0945942 -0.0126961
1.03341e-05 0.00437604 0.995624 0.0597461 0.940254 -0.0674852 0.0470107
1.0569e-05 0.0220546 0.977945 0.0541379 0.945862 -0.103049 0.186782
1.08038e-05 0.0201226 0.979877 0.0130344 0.986966 0.0758011 0.00144704
1.10387e-05 0.0209292 0.979071 0.00865263 0.991347 0.0567968 -0.00750844
1.12736e-05 0.0445135 0.955486 0.0174444 0.982556 -0.0721801 0.339731
1.15084e-05 0.0643306 0.935669 0.00673153 0.993268 -0.029496 -0.0295412
1.17433e-05 0.0791708 0.920829 0.00149797 0.998502 0.00213593 -0.12319
1.19782e-05 0.133391 0.866609 0.00677657 0.993223 -0.115386 0.136885
1.2213e-05 0.0916282 0.908372 0.00822966 0.99177 0.192911 -0.0135114
1.24479e-05 0.104746 0.895254 0.0413694 0.958631 0.0166611 -0.136498
1.26828e-05 0.150171 0.849829 0.0740116 0.925988 -0.0742541 -0.027117
1.29176e-05 0.162733 0.837267 0.0599356 0.940064 0.0280615 0.160821
1.31525e-05 0.224407 0.775593 0.109632 0.890368 -0.0953152 -0.0942522
1.33874e-05 0.221134 0.778866 0.0785183 0.921482 0.0702077 -0.12596
1.36222e-05 0.220826 0.779174 0.0970743 0.902926 0.0635493 -0.109809
1.38571e-05 0.300915 0.699085 0.180674 0.819326 -0.120469 -0.156271
1.4092e-05 0.348722 0.651278 0.170379 0.829621 -0.0415225 0.186038
1.43268e-05 0.417911 0.582089 0.207328 0.792672 -0.0798137 0.0764437
1.45617e-05 0.501521 0.498479 0.241329 0.758671 -0.10516 0.0959884
1.47966e-05 0.552079 0.447921 0.239675 0.760325 -0.0388035 -0.255024
1.50314e-05 0.572612 0.427388 0.23774 0.76226 0.0206462 0.163629
1.52663e-05 0.515777 0.484223 0.198732 0.801268 0.176986 -0.151402
1.55012e-05 0.585945 0.414055 0.338959 0.661041 -0.079043 -0.273165
1.5736e-05 0.643053 0.356947 0.358364 0.641636 -0.0600904 -0.00331609
1.59709e-05 0.714939 0.285061 0.406131 0.593869 -0.0971424 -0.0961469
1.62058e-05 0.800246 0.199754 0.458801 0.541199 -0.145886 0.0963743
1.64406e-05 0.802824 0.197176 0.39156 0.60844 0.0497348 0.0171946
1.66755e-05 0.802457 0.197543 0.416623 0.583377 0.05697 0.0764517
1.69103e-05 0.832555 0.167445 0.483383 0.516617 -0.0204664 0.137672
1.71452e-05 0.874837 0.125163 0.532631 0.467369 -0.0598219 0.0400983
1.73801e-05 0.882693 0.117307 0.514608 0.485392 0.0364072 -0.00887333
1.76149e-05 0.907753 0.0922467 0.573972 0.426028 -0.0220361 -0.0507718
1.78498e-05 0.962378 0.0376218 0.670145 0.329855 -0.16856 0.280626
1.80847e-05 0.978074 0.0219261 0.631501 0.368499 -0.0309002 0.131474
1.83195e-05 0.991162 0.00883807 0.666346 0.333654 -0.0461406 0.0771883
1.85544e-05 0.993154 0.00684569 0.654407 0.345593 0.039995 -0.0867322
1.87893e-05 0.99949 0.000509616 0.72464 0.27536 -0.0577078 0.185053
1.90241e-05 0.999993 6.83745e-06 0.732818 0.267182 -0.0152198 -0.104995
1.9259e-05 0.996629 0.00337085 0.731271 0.268729 0.0488494 -0.0936628
1.94939e-05 0.989527 0.010473 0.767837 0.232163 0.0264104 -0.209189
1.97287e-05 0.987261 0.0127392 0.817746 0.182254 -0.0395104 0.036866
1.99636e-05 0.989421 0.0105792 0.852887 0.147113 -0.0820466 0.179548
2.01985e-05 0.971113 0.0288873 0.817097 0.182903 0.0727209 -0.0476734
2.04333e-05 0.95463 0.0453695 0.854345 0.145655 0.0249181 0.113033
2.06682e-05 0.954853 0.0451469 0.900222 0.099778 -0.0636475 0.104351
2.09031e-05 0.936291 0.0637088 0.890902 0.109098 0.0202477 0.0160187
2.11379e-05 0.930923 0.069077 0.921216 0.0787839 -0.0403372 0.21164
2.13728e-05 0.928414 0.0715859 0.93626 0.0637402 -0.0490773 -0.00221303
2.16077e-05 0.882769 0.117231 0.910428 0.0895715 0.0975951 -0.0463616
2.18425e-05 0.868307 0.131693 0.950917 0.0490829 -0.0170294 -0.0458758
2.20774e-05 0.815612 0.184388 0.937496 0.0625041 0.083236 -0.0210185
2.23123e-05 0.800176 0.199824 0.966243 0.0337567 -0.0228273 0.102615
2.25471e-05 0.789889 0.210111 0.972905 0.027095 -0.0353397 0.0154037
2.2782e-05 0.754757 0.245243 0.967282 0.0327182 0.0230871 -0.120624
2.30169e-05 0.774739 0.225261 0.987407 0.0125931 -0.10941 -0.0149598
2.32517e-05 0.741458 0.258542 0.970881 0.0291186 0.0153259 -0.241824
2.34866e-05 0.716381 0.283619 0.970587 0.0294127 -0.00583174 0.0646092
2.37215e-05 0.625737 0.374263 0.936501 0.0634989 0.130675 0.0224019
2.39563e-05 0.547046 0.452954 0.938342 0.0616583 0.0972188 -0.12586
2.41912e-05 0.548662 0.451338 0.963729 0.0362714 -0.0651903 0.105541
