Time abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
0 0.999 0.000985853 0.999 0.000985853 0.0306567 0.0046334
2.34866e-07 0.996018 0.00396811 0.996018 0.00396811 -0.0133006 0.047396
4.69732e-07 0.991072 0.00891344 0.991072 0.00891344 0.0606114 0.00764581
7.04598e-07 0.984186 0.0157999 0.984186 0.0157999 0.0883594 0.0599863
9.39464e-07 0.975387 0.0245991 0.975387 0.0245991 0.0665784 -0.0298042
1.17433e-06 0.96471 0.0352755 0.96471 0.0352755 -0.045368 -0.0352863
1.4092e-06 0.952199 0.0477865 0.952199 0.0477865 0.0705868 -0.0386668
1.64406e-06 0.937903 0.0620824 0.937903 0.0620824 -0.0375943 -0.0376799
1.87893e-06 0.921879 0.0781065 0.921879 0.0781065 0.034933 -0.00104352
2.11379e-06 0.90419 0.0957953 0.90419 0.0957953 -0.0298131 0.0718392
2.34866e-06 0.884907 0.115079 0.884907 0.115079 0.0515641 0.0549739
2.58353e-06 0.864105 0.135881 0.864105 0.135881 0.0403182 -0.00804521
2.81839e-06 0.841866 0.15812 0.841866 0.15812 -0.0198906 -0.119616
3.05326e-06 0.818279 0.181707 0.818279 0.181707 0.0357726 -0.0345379
3.28812e-06 0.793437 0.206549 0.793437 0.206549 -0.00663372 0.0301099
3.52299e-06 0.767437 0.232549 0.767437 0.232549 0.0013684 0.0275811
3.75786e-06 0.740382 0.259603 0.740382 0.259603 -0.0141763 0.0368614
3.99272e-06 0.71238 0.287606 0.71238 0.287606 -0.00196768 -0.0656551
4.22759e-06 0.68354 0.316446 0.68354 0.316446 0.0502928 0.00786669
4.46245e-06 0.653977 0.346009 0.653977 0.346009 -0.0384555 0.0589506
4.69732e-06 0.623806 0.376179 0.623806 0.376179 -0.0203713 -0.0558945
4.93218e-06 0.593148 0.406838 0.593148 0.406838 -0.000745751 0.00402931
5.16705e-06 0.562122 0.437863 0.562122 0.437863 -0.000897972 -0.0273689
5.40192e-06 0.530852 0.469133 0.530852 0.469133 0.0879678 0.0150323
5.63678e-06 0.499461 0.500524 0.499461 0.500524 -0.0809948 -0.0877437
5.87165e-06 0.468073 0.531913 0.468073 0.531913 0.00285914 -0.0559424
6.10651e-06 0.43681 0.563175 0.43681 0.563175 0.0255624 -0.0330245
6.34138e-06 0.405798 0.594188 0.405798 0.594188 0.0806691 -0.0545812
6.57625e-06 0.375157 0.624829 0.375157 0.624829 0.0162897 0.0353231
6.81111e-06 0.345009 0.654976 0.345009 0.654976 0.0183609 -0.0943608
7.04598e-06 0.315473 0.684513 0.315473 0.684513 0.087116 -0.0132349
7.28084e-06 0.286665 0.71332 0.286665 0.71332 0.0128537 -0.0459671
7.51571e-06 0.258699 0.741287 0.258699 0.741287 -0.0734772 0.0209288
7.75058e-06 0.231685 0.768301 0.231685 0.768301 -0.0266414 0.00173578
7.98544e-06 0.20573 0.794256 0.20573 0.794256 0.010854 0.0527152
8.22031e-06 0.180935 0.819051 0.180935 0.819051 0.0740632 0.0275907
8.45517e-06 0.157399 0.842586 0.157399 0.842586 -0.0202101 -0.0141016
8.69004e-06 0.135215 0.864771 0.135215 0.864771 0.0297727 0.0289374
8.92491e-06 0.11447 0.885516 0.11447 0.885516 -0.140236 0.000955124
9.15977e-06 0.0952449 0.904741 0.0952449 0.904741 -0.0464161 0.0243956
9.39464e-06 0.0776167 0.922369 0.0776167 0.922369 0.0725048 -0.0334666
9.6295e-06 0.0616546 0.938331 0.0616546 0.938331 0.0878974 0.0634352
9.86437e-06 0.0474213 0.952564 0.0474213 0.952564 -0.0375014 -0.0575213
1.00992e-05 0.034973 0.965013 0.034973 0.965013 0.0267377 -0.0172664
1.03341e-05 0.0243588 0.975627 0.0243588 0.975627 -0.00906976 -0.0334393
1.0569e-05 0.0156205 0.984365 0.0156205 0.984365 0.0749055 -0.0584677
1.08038e-05 0.00879246 0.991193 0.00879246 0.991193 -0.00390619 -0.0149759
1.10387e-05 0.00390158 0.996084 0.00390158 0.996084 0.0185841 -0.0389334
1.12736e-05 0.000967131 0.999019 0.000967131 0.999019 -0.0373778 -0.0355458
1.15084e-05 6.27298e-07 0.999985 6.27298e-07 0.999985 -0.0170033 -0.0356961
1.17433e-05 0.00100584 0.99898 0.00100584 0.99898 -0.0626984 0.073611
1.19782e-05 0.00397877 0.996007 0.00397877 0.996007 -0.0769549 0.0324382
1.2213e-05 0.00890764 0.991078 0.00890764 0.991078 0.0272523 0.052224
1.24479e-05 0.015773 0.984213 0.015773 0.984213 -0.0659524 -0.0835308
1.26828e-05 0.0245477 0.975438 0.0245477 0.975438 0.024379 -0.141859
1.29176e-05 0.0351971 0.964789 0.0351971 0.964789 0.0843908 -0.0152305
1.31525e-05 0.0476792 0.952306 0.0476792 0.952306 -0.0119538 0.080842
1.33874e-05 0.0619447 0.938041 0.0619447 0.938041 -0.0565202 -0.0655593
1.36222e-05 0.0779373 0.922048 0.0779373 0.922048 0.089222 0.0796671
1.38571e-05 0.0955939 0.904392 0.0955939 0.904392 0.0592923 -0.0454907
1.4092e-05 0.114845 0.885141 0.114845 0.885141 -0.029787 -0.00682224
1.43268e-05 0.135614 0.864371 0.135614 0.864371 -0.0458098 -0.0344468
1.45617e-05 0.15782 0.842165 0.15782 0.842165 -0.0192969 -0.0165096
1.47966e-05 0.181375 0.818611 0.181375 0.818611 -0.0498091 -0.0407771
1.50314e-05 0.206186 0.7938 0.206186 0.7938 -0.0126097 -0.00817912
1.52663e-05 0.232155 0.767831 0.232155 0.767831 -0.0722759 -0.00377875
1.55012e-05 0.25918 0.740806 0.25918 0.740806 0.0339707 -0.034331
1.5736e-05 0.287153 0.712832 0.287153 0.712832 0.0748981 0.03626
1.59709e-05 0.315966 0.68402 0.315966 0.68402 0.0754742 -0.011287
1.62058e-05 0.345504 0.654482 0.345504 0.654482 0.0307567 0.0257943
1.64406e-05 0.37565 0.624335 0.37565 0.624335 0.0982313 -0.0229285
1.66755e-05 0.406287 0.593699 0.406287 0.593699 0.107768 -0.00817728
1.69103e-05 0.437292 0.562694 0.437292 0.562694 0.0272292 0.0848088
1.71452e-05 0.468544 0.531442 0.468544 0.531442 0.0289362 -0.0170979
1.73801e-05 0.49992 0.500066 0.49992 0.500066 -0.0390568 -0.0404745
1.76149e-05 0.531295 0.46869 0.531295 0.46869 -0.0172585 -0.0312005
1.78498e-05 0.562547 0.437439 0.562547 0.437439 -0.0641454 0.132833
1.80847e-05 0.593552 0.406434 0.593552 0.406434 -0.0525022 -0.010884
1.83195e-05 0.624187 0.375799 0.624187 0.375799 -0.0755498 -0.0455549
1.85544e-05 0.654332 0.345653 0.654332 0.345653 -0.000347521 -0.0221074
1.87893e-05 0.683869 0.316117 0.683869 0.316117 0.072528 -0.110153
1.90241e-05 0.71268 0.287305 0.71268 0.287305 0.0143638 -0.0340546
1.9259e-05 0.740653 0.259333 0.740653 0.259333 0.0189377 -0.052551
1.94939e-05 0.767676 0.23231 0.767676 0.23231 -0.0417121 -0.0245729
1.97287e-05 0.793644 0.206342 0.793644 0.206342 -0.00728015 0.0158756
1.99636e-05 0.818454 0.181532 0.818454 0.181532 0.0684091 0.109261
2.01985e-05 0.842008 0.157977 0.842008 0.157977 0.0525523 0.0122322
2.04333e-05 0.864214 0.135771 0.864214 0.135771 0.0318287 0.0683141
2.06682e-05 0.884985 0.115001 0.884985 0.115001 0.122849 -0.0233798
2.09031e-05 0.904238 0.0957481 0.904238 0.0957481 0.025363 -0.00136618
2.11379e-05 0.921897 0.0780885 0.921897 0.0780885 -0.0590274 -0.113337
2.13728e-05 0.937894 0.0620916 0.937894 0.0620916 0.0530406 0.0383731
2.16077e-05 0.952165 0.0478203 0.952165 0.0478203 0.0043793 -0.0358662
2.18425e-05 0.964655 0.0353304 0.964655 0.0353304 0.0637163 0.0148845
2.20774e-05 0.975315 0.0246708 0.975315 0.0246708 0.0290814 0.00102484
2.23123e-05 0.984102 0.0158831 0.984102 0.0158831 -0.0225746 0.0620759
2.25471e-05 0.990984 0.00900117 0.990984 0.00900117 -0.0648553 0.0315202
2.2782e-05 0.995935 0.00405085 0.995935 0.00405085 0.0346161 0.024212
2.30169e-05 0.998936 0.00104929 0.998936 0.00104929 -0.0202948 0.0344818
2.32517e-05 0.999984 1.47815e-06 0.999984 1.47815e-06 -0.0397603 -0.0383912
2.34866e-05 0.999234 0.000751841 0.999234 0.000751841 0.0893916 0.0563673
2.37215e-05 0.996498 0.00348724 0.996498 0.00348724 -0.109077 -0.0278106
2.39563e-05 0.991798 0.00818808 0.991798 0.00818808 -0.0277166 0.0393956
2.41912e-05 0.985153 0.0148331 0.985153 0.0148331 0.0335104 -0.0191105
2.44261e-05 0.976591 0.0233948 0.976591 0.0233948 0.0676193 -0.0294603
2.46609e-05 0.966147 0.0338386 0.966147 0.0338386 0.0281889 -0.0146078
2.48958e-05 0.953863 0.0461227 0.953863 0.0461227 -0.0362924 0.0487797
2.51307e-05 0.939787 0.0601982 0.939787 0.0601982 0.0468654 -6.38497e-07
2.53655e-05 0.923976 0.0760095 0.923976 0.0760095 0.0394771 0.0650363
2.56004e-05 0.906492 0.0934937 0.906492 0.0934937 0.0214106 0.0029668
2.58353e-05 0.887404 0.112582 0.887404 0.112582 -0.00584035 -0.078924
2.60701e-05 0.866787 0.133198 0.866787 0.133198 0.100681 0.016894
2.6305e-05 0.844724 0.155262 0.844724 0.155262 0.00212132 -0.0337517
2.65399e-05 0.8213 0.178685 0.8213 0.178685 0.000466032 0.0374001
2.67747e-05 0.79661 0.203376 0.79661 0.203376 -0.0371883 -0.0701934
2.70096e-05 0.770749 0.229237 0.770749 0.229237 0.00591155 -0.0727715
2.72445e-05 0.743821 0.256165 0.743821 0.256165 0.00981623 0.0451431
2.74793e-05 0.715931 0.284055 0.715931 0.284055 -0.0105602 -0.01462
2.77142e-05 0.68719 0.312796 0.68719 0.312796 0.00204832 0.00261282
2.7949e-05 0.65771 0.342275 0.65771 0.342275 0.00361621 -0.0572255
2.81839e-05 0.62761 0.372376 0.62761 0.372376 -0.0255131 0.0274829
2.84188e-05 0.597006 0.40298 0.597006 0.40298 0.0300412 -0.0358545
2.86536e-05 0.566019 0.433966 0.566019 0.433966 -0.0478214 0.0222843
2.88885e-05 0.534773 0.465212 0.534773 0.465212 0.114703 0.0251803
2.91234e-05 0.503391 0.496595 0.503391 0.496595 0.0525868 -0.00923548
2.93582e-05 0.471995 0.527991 0.471995 0.527991 -0.0143254 -0.0592169
2.95931e-05 0.44071 0.559276 0.44071 0.559276 -0.0900151 -0.0264074
2.9828e-05 0.409659 0.590326 0.409659 0.590326 -0.00348089 0.126325
3.00628e-05 0.378965 0.62102 0.378965 0.62102 -0.0539461 -0.0644473
3.02977e-05 0.348749 0.651236 0.348749 0.651236 0.0560021 0.0662235
3.05326e-05 0.31913 0.680855 0.31913 0.680855 0.0876819 0.0819886
3.07674e-05 0.290225 0.70976 0.290225 0.70976 0.0551238 -0.0692955
3.10023e-05 0.262148 0.737838 0.262148 0.737838 0.030444 -0.0273104
3.12372e-05 0.235009 0.764977 0.235009 0.764977 -0.0515933 0.0276242
3.1472e-05 0.208915 0.791071 0.208915 0.791071 -0.0212649 0.0349382
3.17069e-05 0.18397 0.816016 0.18397 0.816016 -0.0425206 -0.0271176
3.19418e-05 0.160271 0.839714 0.160271 0.839714 -0.111434 -0.0594851
3.21766e-05 0.137913 0.862073 0.137913 0.862073 -0.11184 -0.022606
3.24115e-05 0.116983 0.883003 0.116983 0.883003 -0.0540727 -0.0212918
3.26464e-05 0.0975639 0.902422 0.0975639 0.902422 -0.0047277 0.0140264
3.28812e-05 0.0797321 0.920254 0.0797321 0.920254 -0.0195788 -0.0487685
3.31161e-05 0.063558 0.936428 0.063558 0.936428 0.0426143 0.00148937
3.3351e-05 0.0491052 0.95088 0.0491052 0.95088 -0.0241814 0.0115739
3.35858e-05 0.0364308 0.963555 0.0364308 0.963555 -0.0923406 -0.0899183
3.38207e-05 0.0255847 0.974401 0.0255847 0.974401 -0.072682 -0.0237792
3.40556e-05 0.0166097 0.983376 0.0166097 0.983376 -0.00898026 0.0204411
3.42904e-05 0.00954108 0.990445 0.00954108 0.990445 6.63685e-05 -0.0617588
3.45253e-05 0.00440666 0.995579 0.00440666 0.995579 -0.0908059 0.0584024
3.47602e-05 0.00122668 0.998759 0.00122668 0.998759 0.0341151 0.0713732
3.4995e-05 1.36333e-05 0.999972 1.36333e-05 0.999972 -0.0289153 -0.00514716
3.52299e-05 0.000772257 0.999213 0.000772257 0.999213 -0.0304656 -0.0643156
3.54648e-05 0.00349952 0.996486 0.00349952 0.996486 -0.000436046 -0.0567612
3.56996e-05 0.00818462 0.991801 0.00818462 0.991801 0.0227562 -0.0891854
3.59345e-05 0.014809 0.985177 0.014809 0.985177 0.0323169 0.0230823
3.61694e-05 0.0233466 0.976639 0.0233466 0.976639 0.0667692 -0.173202
3.64042e-05 0.0337637 0.966222 0.0337637 0.966222 -0.0224468 -0.0829102
3.66391e-05 0.046019 0.953967 0.046019 0.953967 -0.0726821 -0.0185511
3.6874e-05 0.0600644 0.939921 0.0600644 0.939921 0.0425266 -0.0553104
3.71088e-05 0.0758443 0.924141 0.0758443 0.924141 0.0178414 -0.0253017
3.73437e-05 0.0932964 0.906689 0.0932964 0.906689 0.0646586 -0.00527195
3.75786e-05 0.112352 0.887634 0.112352 0.887634 0.0143191 0.0415606
3.78134e-05 0.132936 0.86705 0.132936 0.86705 -0.0263118 0.0619997
3.80483e-05 0.154967 0.845019 0.154967 0.845019 0.0162369 -0.0561427
3.82832e-05 0.178358 0.821628 0.178358 0.821628 0.0120483 -0.00987704
3.8518e-05 0.203017 0.796969 0.203017 0.796969 -0.0680709 0.0303765
3.87529e-05 0.228846 0.771139 0.228846 0.771139 -0.0418825 0.106185
3.89877e-05 0.255745 0.744241 0.255745 0.744241 0.0162037 0.00753151
3.92226e-05 0.283606 0.71638 0.283606 0.71638 -0.0707863 -0.0941048
3.94575e-05 0.31232 0.687666 0.31232 0.687666 -0.0582651 -0.0625158
3.96923e-05 0.341773 0.658213 0.341773 0.658213 -0.054669 0.0479856
3.99272e-05 0.37185 0.628136 0.37185 0.628136 0.0141587 0.0517635
4.01621e-05 0.402431 0.597554 0.402431 0.597554 -0.00547873 -0.0375412
4.03969e-05 0.433397 0.566588 0.433397 0.566588 0.0103097 0.0706525
4.06318e-05 0.464625 0.53536 0.464625 0.53536 0.0931376 0.0588224
4.08667e-05 0.495992 0.503993 0.495992 0.503993 0.00018789 0.0127366
4.11015e-05 0.527375 0.472611 0.527375 0.472611 0.0121409 0.0180912
4.13364e-05 0.558649 0.441337 0.558649 0.441337 -0.031785 0.142288
4.15713e-05 0.589691 0.410295 0.589691 0.410295 0.0550431 0.0969286
4.18061e-05 0.620379 0.379606 0.620379 0.379606 0.0278478 -0.0603784
4.2041e-05 0.650592 0.349393 0.650592 0.349393 0.1362 0.0114866
4.22759e-05 0.680211 0.319774 0.680211 0.319774 0.014579 0.000256012
4.25107e-05 0.70912 0.290866 0.70912 0.290866 -0.0344048 -0.0651877
4.27456e-05 0.737203 0.262783 0.737203 0.262783 0.0259286 0.0172208
4.29805e-05 0.764351 0.235635 0.764351 0.235635 0.0609994 0.0353067
4.32153e-05 0.790457 0.209529 0.790457 0.209529 -0.0189358 -0.103448
4.34502e-05 0.815417 0.184569 0.815417 0.184569 0.0824979 0.0183514
4.36851e-05 0.839134 0.160852 0.839134 0.160852 -0.0132971 -0.0272009
4.39199e-05 0.861513 0.138472 0.861513 0.138472 0.0137438 -0.0604685
4.41548e-05 0.882468 0.117518 0.882468 0.117518 -0.0362718 -0.0140253
4.43897e-05 0.901915 0.0980708 0.901915 0.0980708 0.00320873 0.0750863
4.46245e-05 0.919778 0.080208 0.919778 0.080208 0.111771 -0.104272
4.48594e-05 0.935986 0.0639996 0.935986 0.0639996 0.00847056 -0.0343638
4.50943e-05 0.950477 0.0495091 0.950477 0.0495091 -0.063895 -0.0311664
4.53291e-05 0.963192 0.0367936 0.963192 0.0367936 0.0218184 -0.000686737
4.5564e-05 0.974083 0.0259026 0.974083 0.0259026 -0.0235696 -0.00538278
4.57989e-05 0.983107 0.0168788 0.983107 0.0168788 -0.0193422 -0.0101057
4.60337e-05 0.990229 0.00975682 0.990229 0.00975682 -0.0609531 0.0849018
4.62686e-05 0.995422 0.00456372 0.995422 0.00456372 0.0114176 0.0457964
4.65035e-05 0.998668 0.00131779 0.998668 0.00131779 0.0767785 -0.113444
4.67383e-05 0.99996 2.60413e-05 0.99996 2.60413e-05 -0.0579679 0.116037
4.69732e-05 0.999358 0.000627215 0.999358 0.000627215 -0.0149017 -0.105753
