Noise Level,Repetition,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,0,1,0,1,0
0.01,0,2.34866e-07,0.998827,0.00117312,0.998983,0.00101726
0.01,0,4.69732e-07,0.995101,0.00489948,0.995802,0.00419829
0.01,0,7.04598e-07,0.988785,0.0112153,0.990717,0.00928348
0.01,0,9.39464e-07,0.98109,0.0189102,0.984771,0.0152291
0.01,0,1.17433e-06,0.970902,0.0290983,0.975634,0.0243665
0.01,0,1.4092e-06,0.95955,0.0404503,0.965878,0.0341223
0.01,0,1.64406e-06,0.954048,0.0459519,0.960663,0.0393371
0.01,0,1.87893e-06,0.942395,0.0576049,0.94169,0.0583098
0.01,0,2.11379e-06,0.929423,0.0705771,0.926023,0.0739767
0.01,0,2.34866e-06,0.908156,0.0918441,0.901408,0.0985915
0.01,0,2.58353e-06,0.88844,0.11156,0.886001,0.113999
0.01,0,2.81839e-06,0.871597,0.128403,0.869854,0.130146
0.01,0,3.05326e-06,0.860027,0.139973,0.854406,0.145594
0.01,0,3.28812e-06,0.840689,0.159311,0.823892,0.176108
0.01,0,3.52299e-06,0.813395,0.186605,0.792095,0.207905
0.01,0,3.75786e-06,0.793708,0.206292,0.775561,0.224439
0.01,0,3.99272e-06,0.767438,0.232562,0.74275,0.25725
0.01,0,4.22759e-06,0.734894,0.265106,0.709507,0.290493
0.01,0,4.46245e-06,0.719326,0.280674,0.699241,0.300759
0.01,0,4.69732e-06,0.680552,0.319448,0.646486,0.353514
0.01,0,4.93218e-06,0.654433,0.345567,0.630308,0.369692
0.01,0,5.16705e-06,0.631013,0.368987,0.60296,0.39704
0.01,0,5.40192e-06,0.587703,0.412297,0.552174,0.447826
0.01,0,5.63678e-06,0.556886,0.443114,0.534014,0.465986
0.01,0,5.87165e-06,0.526462,0.473538,0.503155,0.496845
0.01,0,6.10651e-06,0.500001,0.499999,0.475838,0.524162
0.01,0,6.34138e-06,0.472471,0.527529,0.443278,0.556722
0.01,0,6.57625e-06,0.438931,0.561069,0.40614,0.59386
0.01,0,6.81111e-06,0.417098,0.582902,0.386442,0.613558
0.01,0,7.04598e-06,0.382164,0.617836,0.343152,0.656848
0.01,0,7.28084e-06,0.360775,0.639225,0.326474,0.673526
0.01,0,7.51571e-06,0.338286,0.661714,0.296243,0.703757
0.01,0,7.75058e-06,0.300576,0.699424,0.253452,0.746548
0.01,0,7.98544e-06,0.260685,0.739315,0.223448,0.776552
0.01,0,8.22031e-06,0.237233,0.762767,0.211824,0.788176
0.01,0,8.45517e-06,0.209219,0.790781,0.181538,0.818462
0.01,0,8.69004e-06,0.174797,0.825203,0.150709,0.849291
0.01,0,8.92491e-06,0.152261,0.847739,0.137977,0.862023
0.01,0,9.15977e-06,0.138933,0.861067,0.124421,0.875579
0.01,0,9.39464e-06,0.116657,0.883343,0.0955524,0.904448
0.01,0,9.6295e-06,0.0957164,0.904284,0.077107,0.922893
0.01,0,9.86437e-06,0.0826678,0.917332,0.0663043,0.933696
0.01,0,1.00992e-05,0.062124,0.937876,0.0444911,0.955509
0.01,0,1.03341e-05,0.0466386,0.953361,0.0339726,0.966027
0.01,0,1.0569e-05,0.043563,0.956437,0.0317881,0.968212
0.01,0,1.08038e-05,0.0371447,0.962855,0.0184894,0.981511
0.01,0,1.10387e-05,0.0267607,0.973239,0.0079834,0.992017
0.01,0,1.12736e-05,0.0216202,0.97838,0.00451922,0.995481
0.01,0,1.15084e-05,0.0180802,0.98192,0.00127969,0.99872
0.01,0,1.17433e-05,0.0139693,0.986031,3.04929e-05,0.99997
0.01,0,1.19782e-05,0.0141185,0.985882,0.00214119,0.997859
0.01,0,1.2213e-05,0.0156074,0.984393,0.00550121,0.994499
0.01,0,1.24479e-05,0.0197784,0.980222,0.0117521,0.988248
0.01,0,1.26828e-05,0.0222586,0.977741,0.0166462,0.983354
0.01,0,1.29176e-05,0.0300045,0.969995,0.0292201,0.97078
0.01,0,1.31525e-05,0.0396988,0.960301,0.0408064,0.959194
0.01,0,1.33874e-05,0.0499411,0.950059,0.0526434,0.947357
0.01,0,1.36222e-05,0.062729,0.937271,0.0684829,0.931517
0.01,0,1.38571e-05,0.0882129,0.911787,0.0965622,0.903438
0.01,0,1.4092e-05,0.119569,0.880431,0.117581,0.882419
0.01,0,1.43268e-05,0.137327,0.862673,0.121338,0.878662
0.01,0,1.45617e-05,0.147109,0.852891,0.133726,0.866274
0.01,0,1.47966e-05,0.159145,0.840855,0.157748,0.842252
0.01,0,1.50314e-05,0.186494,0.813506,0.196248,0.803752
0.01,0,1.52663e-05,0.209682,0.790318,0.216048,0.783952
