Time theta phi abs_alpha2 abs_beta2
0 0 3.14159 1 0
3.56999e-12 0 0.00314158 1 0
7.13998e-12 0 0.00314158 1 0
1.071e-11 0 0.00314158 1 0
1.428e-11 0 0.00314158 1 0
1.785e-11 0 0.00314158 1 0
2.14199e-11 0 0.00314158 1 0
2.49899e-11 0 0.00314158 1 0
2.85599e-11 0 0.00314158 1 0
3.21299e-11 0 0.00314158 1 0
3.56999e-11 0 0.00314158 1 0
3.92699e-11 0 0.00314158 1 0
4.28399e-11 0 0.00314158 1 0
4.64099e-11 0 0.00314158 1 0
4.99799e-11 0 0.00314158 1 0
5.35499e-11 0 0.00314158 1 0
5.71199e-11 0 0.00314158 1 0
6.06899e-11 0 0.00314158 1 0
6.42598e-11 0 0.00314158 1 0
6.78298e-11 0 0.00314158 1 0
7.13998e-11 0 0.00314158 1 0
7.49698e-11 0 0.00314158 1 0
7.85398e-11 0 0.00314158 1 0
8.21098e-11 0 0.00314158 1 0
8.56798e-11 0 0.00314158 1 0
8.92498e-11 0 0.00314158 1 0
9.28198e-11 0 0.00314158 1 0
9.63898e-11 0 0.00314158 1 0
9.99598e-11 0 0.00314158 1 0
1.0353e-10 0 0.00314158 1 0
1.071e-10 0 0.00314158 1 0
1.1067e-10 0 0.00314158 1 0
1.1424e-10 0 0.00314158 1 0
1.1781e-10 0 0.00314158 1 0
1.2138e-10 0 0.00314158 1 0
1.2495e-10 0 0.00314158 1 0
1.2852e-10 0 0.00314158 1 0
1.3209e-10 0 0.00314158 1 0
1.3566e-10 0 0.00314158 1 0
1.3923e-10 0 0.00314158 1 0
1.428e-10 0 0.00314158 1 0
1.4637e-10 0 0.00314158 1 0
1.4994e-10 0 0.00314158 1 0
1.5351e-10 0 0.00314158 1 0
1.5708e-10 0 0.00314158 1 0
1.6065e-10 0 0.00314158 1 0
1.6422e-10 0 0.00314158 1 0
1.6779e-10 0 0.00314158 1 0
1.7136e-10 0 0.00314158 1 0
1.7493e-10 0 0.00314158 1 0
1.785e-10 0 0.00314158 1 0
1.8207e-10 0 0.00314158 1 0
1.8564e-10 0 0.00314158 1 0
1.8921e-10 0 0.00314158 1 0
1.9278e-10 0 0.00314158 1 0
1.9635e-10 0 0.00314158 1 0
1.9992e-10 0 0.00314158 1 0
2.0349e-10 0 0.00314158 1 0
2.0706e-10 0 0.00314158 1 0
2.1063e-10 0 0.00314158 1 0
2.14199e-10 0 0.00314158 1 0
2.17769e-10 0 0.00314158 1 0
2.21339e-10 0 0.00314158 1 0
2.24909e-10 0 0.00314158 1 0
2.28479e-10 0 0.00314158 1 0
2.32049e-10 0 0.00314158 1 0
2.35619e-10 0 0.00314158 1 0
2.39189e-10 0 0.00314158 1 0
2.42759e-10 0 0.00314158 1 0
2.46329e-10 0 0.00314158 1 0
2.49899e-10 0 0.00314158 1 0
2.53469e-10 0 0.00314158 1 0
2.57039e-10 0 0.00314158 1 0
2.60609e-10 0 0.00314158 1 0
2.64179e-10 0 0.00314158 1 0
2.67749e-10 0 0.00314158 1 0
2.71319e-10 0 0.00314158 1 0
2.74889e-10 0 0.00314158 1 0
2.78459e-10 0 0.00314158 1 0
2.82029e-10 0 0.00314158 1 0
2.85599e-10 0 0.00314158 1 0
2.89169e-10 0 0.00314158 1 0
2.92739e-10 0 0.00314158 1 0
2.96309e-10 0 0.00314158 1 0
2.99879e-10 0 0.00314158 1 0
3.03449e-10 0 0.00314158 1 0
3.07019e-10 0 0.00314158 1 0
3.10589e-10 0 0.00314158 1 0
3.14159e-10 0 0.00314158 1 0
3.17729e-10 0 0.00314158 1 0
3.21299e-10 0 0.00314158 1 0
3.24869e-10 0 0.00314158 1 0
3.28439e-10 0 0.00314158 1 0
3.32009e-10 0 0.00314158 1 0
3.35579e-10 0 0.00314158 1 0
3.39149e-10 0 0.00314158 1 0
3.42719e-10 0 0.00314158 1 0
3.46289e-10 0 0.00314158 1 0
