Temps abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
0 1 0 1 0 0 0
3.56999e-10 0.999004 0.000995762 0.999 0.00099956 0.000314511 0.0692147
7.13998e-10 0.994077 0.00592286 0.994085 0.00591544 0.0282188 0.158175
1.071e-09 0.992335 0.00766479 0.99454 0.00545972 -0.0407264 0.0219371
1.428e-09 0.957077 0.0429226 0.95426 0.0457404 0.179839 -0.0339882
1.785e-09 0.95044 0.0495597 0.980091 0.0199089 -0.0309891 0.0712478
2.14199e-09 0.928994 0.0710055 0.959507 0.0404926 0.0282282 0.0343734
2.49899e-09 0.929165 0.0708352 0.96488 0.03512 -0.062718 -0.0136944
2.85599e-09 0.909159 0.0908408 0.935535 0.0644651 0.0112286 0.167216
3.21299e-09 0.893444 0.106556 0.924428 0.0755722 -0.00768817 0.174096
3.56999e-09 0.8665 0.1335 0.897596 0.102404 0.0257758 -0.182582
3.92699e-09 0.824405 0.175595 0.867918 0.132082 0.0553958 0.0854338
4.28399e-09 0.808924 0.191076 0.87244 0.12756 -0.020167 -0.107904
4.64099e-09 0.798919 0.201081 0.856623 0.143377 -0.0366885 0.0935713
4.99799e-09 0.77072 0.22928 0.81715 0.18285 0.00787762 -0.0710939
5.35499e-09 0.765099 0.234901 0.814686 0.185314 -0.0485301 -0.01176
5.71199e-09 0.72962 0.27038 0.761407 0.238593 0.0196602 -0.0839491
6.06899e-09 0.699259 0.300741 0.741194 0.258806 0.00458329 0.211034
6.42598e-09 0.685553 0.314447 0.729196 0.270804 -0.0307322 0.13971
6.78298e-09 0.653067 0.346933 0.681855 0.318145 0.0114045 -0.14333
7.13998e-09 0.667925 0.332075 0.700654 0.299346 -0.0921176 0.0447229
7.49698e-09 0.623369 0.376631 0.61189 0.38811 0.0331302 -0.127338
7.85398e-09 0.602962 0.397038 0.607309 0.392691 -0.0200475 -0.0579781
8.21098e-09 0.537703 0.462297 0.531968 0.468032 0.0694714 0.00595176
8.56798e-09 0.444924 0.555076 0.473617 0.526383 0.123431 0.050146
8.92498e-09 0.402356 0.597644 0.492748 0.507252 0.024183 -0.212344
9.28198e-09 0.386289 0.613711 0.489001 0.510999 -0.0298474 0.235207
9.63898e-09 0.305252 0.694748 0.389197 0.610803 0.108925 0.0954725
9.99598e-09 0.257397 0.742603 0.389139 0.610861 0.0462687 -0.00610649
1.0353e-08 0.228125 0.771875 0.37762 0.62238 0.00811082 0.206295
1.071e-08 0.263046 0.736954 0.417366 0.582634 -0.135932 0.0535687
1.1067e-08 0.266766 0.733234 0.350367 0.649633 -0.0607603 -0.0258576
1.1424e-08 0.230139 0.769861 0.278179 0.721821 0.0322659 0.0873476
1.1781e-08 0.147935 0.852065 0.196364 0.803636 0.162654 0.113968
1.2138e-08 0.156562 0.843438 0.266072 0.733928 -0.0658606 0.0669385
1.2495e-08 0.138837 0.861163 0.205797 0.794203 0.0138519 0.119719
1.2852e-08 0.0888266 0.911173 0.138193 0.861807 0.13176 0.172491
1.3209e-08 0.0800946 0.919905 0.155713 0.844287 0.0196028 -0.0598805
1.3566e-08 0.0742455 0.925755 0.136238 0.863762 0.0122061 0.0966559
1.3923e-08 0.0523876 0.947612 0.0910117 0.908988 0.0926527 -0.0400737
1.428e-08 0.0466245 0.953376 0.0901502 0.90985 0.0337291 -0.149121
1.4637e-08 0.0513993 0.948601 0.0869035 0.913096 -0.0162349 0.230421
1.4994e-08 0.045577 0.954423 0.0532183 0.946782 0.0542872 0.118506
1.5351e-08 0.0458631 0.954137 0.0434322 0.956568 0.0377686 0.12462
1.5708e-08 0.0440174 0.955983 0.0281557 0.971844 0.0576638 -0.00897443
1.6065e-08 0.0569642 0.943036 0.0286207 0.971379 -0.00787793 0.01726
1.6422e-08 0.0479686 0.952031 0.00769564 0.992304 0.0945715 0.116344
1.6779e-08 0.0637219 0.936278 0.0118929 0.988107 -0.0100643 0.0756758
1.7136e-08 0.0618798 0.93812 0.00149317 0.998507 0.0684015 -0.154533
1.7493e-08 0.0677642 0.932236 0.000601787 0.999398 0.0345447 -0.0110272
1.785e-08 0.0970513 0.902949 0.0012522 0.998748 -0.0478871 -0.0503527
1.8207e-08 0.103895 0.896105 0.00139966 0.9986 0.0358404 0.00691152
1.8564e-08 0.107871 0.892129 0.00396916 0.996031 0.046419 0.186378
1.8921e-08 0.150336 0.849664 0.0222159 0.977784 -0.0647691 -0.125939
1.9278e-08 0.194573 0.805427 0.0309217 0.969078 -0.0563753 0.083118
1.9635e-08 0.222866 0.777134 0.0333449 0.966655 -0.00756293 0.130495
