Time theta phi abs_alpha2 abs_beta2
0 0 0 1 0
3.56999e-10 0 0.304396 1 0
7.13998e-10 0 0.304396 1 0
1.071e-09 0 0.304396 1 0
1.428e-09 0 0.304396 1 0
1.785e-09 0 0.304396 1 0
2.14199e-09 0 0.304396 1 0
2.49899e-09 0 0.304396 1 0
2.85599e-09 0 0.304396 1 0
3.21299e-09 0 0.304396 1 0
3.56999e-09 0 0.304396 1 0
3.92699e-09 0 0.304396 1 0
4.28399e-09 0 0.304396 1 0
4.64099e-09 0 0.304396 1 0
4.99799e-09 0 0.304396 1 0
5.35499e-09 0 0.304396 1 0
5.71199e-09 0 0.304396 1 0
6.06899e-09 0 0.304396 1 0
6.42598e-09 0 0.304396 1 0
6.78298e-09 0 0.304396 1 0
7.13998e-09 0 0.304396 1 0
7.49698e-09 0 0.304396 1 0
7.85398e-09 0 0.304396 1 0
8.21098e-09 0 0.304396 1 0
8.56798e-09 0 0.304396 1 0
8.92498e-09 0 0.304396 1 0
9.28198e-09 0 0.304396 1 0
9.63898e-09 0 0.304396 1 0
9.99598e-09 0 0.304396 1 0
1.0353e-08 0 0.304396 1 0
1.071e-08 0 0.304396 1 0
1.1067e-08 0 0.304396 1 0
1.1424e-08 0 0.304396 1 0
1.1781e-08 0 0.304396 1 0
1.2138e-08 0 0.304396 1 0
1.2495e-08 0 0.304396 1 0
1.2852e-08 0 0.304396 1 0
1.3209e-08 0 0.304396 1 0
1.3566e-08 0 0.304396 1 0
1.3923e-08 0 0.304396 1 0
1.428e-08 0 0.304396 1 0
1.4637e-08 0 0.304396 1 0
1.4994e-08 0 0.304396 1 0
1.5351e-08 0 0.304396 1 0
1.5708e-08 0 0.304396 1 0
1.6065e-08 0 0.304396 1 0
1.6422e-08 0 0.304396 1 0
1.6779e-08 0 0.304396 1 0
1.7136e-08 0 0.304396 1 0
1.7493e-08 0 0.304396 1 0
1.785e-08 0 0.304396 1 0
1.8207e-08 0 0.304396 1 0
1.8564e-08 0 0.304396 1 0
1.8921e-08 0 0.304396 1 0
1.9278e-08 0 0.304396 1 0
1.9635e-08 0 0.304396 1 0
1.9992e-08 0 0.304396 1 0
2.0349e-08 0 0.304396 1 0
2.0706e-08 0 0.304396 1 0
2.1063e-08 0 0.304396 1 0
2.14199e-08 0 0.304396 1 0
2.17769e-08 0 0.304396 1 0
2.21339e-08 0 0.304396 1 0
2.24909e-08 0 0.304396 1 0
2.28479e-08 0 0.304396 1 0
2.32049e-08 0 0.304396 1 0
2.35619e-08 0 0.304396 1 0
2.39189e-08 0 0.304396 1 0
2.42759e-08 0 0.304396 1 0
2.46329e-08 0 0.304396 1 0
2.49899e-08 0 0.304396 1 0
2.53469e-08 0 0.304396 1 0
2.57039e-08 0 0.304396 1 0
2.60609e-08 0 0.304396 1 0
2.64179e-08 0 0.304396 1 0
2.67749e-08 0 0.304396 1 0
2.71319e-08 0 0.304396 1 0
2.74889e-08 0 0.304396 1 0
2.78459e-08 0 0.304396 1 0
2.82029e-08 0 0.304396 1 0
2.85599e-08 0 0.304396 1 0
2.89169e-08 0 0.304396 1 0
2.92739e-08 0 0.304396 1 0
2.96309e-08 0 0.304396 1 0
2.99879e-08 0 0.304396 1 0
3.03449e-08 0 0.304396 1 0
3.07019e-08 0 0.304396 1 0
3.10589e-08 0 0.304396 1 0
3.14159e-08 0 0.304396 1 0
3.17729e-08 0 0.304396 1 0
3.21299e-08 0 0.304396 1 0
3.24869e-08 0 0.304396 1 0
3.28439e-08 0 0.304396 1 0
3.32009e-08 0 0.304396 1 0
3.35579e-08 0 0.304396 1 0
3.39149e-08 0 0.304396 1 0
3.42719e-08 0 0.304396 1 0
3.46289e-08 0 0.304396 1 0
3.49859e-08 0 0.304396 1 0
3.53429e-08 0 0.304396 1 0
3.56999e-08 0 0.304396 1 0
3.60569e-08 0 0.304396 1 0
3.64139e-08 0 0.304396 1 0
3.67709e-08 0 0.304396 1 0
3.71279e-08 0 0.304396 1 0
3.74849e-08 0 0.304396 1 0
3.78419e-08 0 0.304396 1 0
3.81989e-08 0 0.304396 1 0
3.85559e-08 0 0.304396 1 0
3.89129e-08 0 0.304396 1 0
3.92699e-08 0 0.304396 1 0
3.96269e-08 0 0.304396 1 0
3.99839e-08 0 0.304396 1 0
4.03409e-08 0 0.304396 1 0
4.06979e-08 0 0.304396 1 0
4.10549e-08 0 0.304396 1 0
4.14119e-08 0 0.304396 1 0
4.17689e-08 0 0.304396 1 0
4.21259e-08 0 0.304396 1 0
4.24829e-08 0 0.304396 1 0
4.28399e-08 0 0.304396 1 0
4.31969e-08 0 0.304396 1 0
4.35539e-08 0 0.304396 1 0
4.39109e-08 0 0.304396 1 0
4.42679e-08 0 0.304396 1 0
4.46249e-08 0 0.304396 1 0
4.49819e-08 0 0.304396 1 0
4.53389e-08 0 0.304396 1 0
4.56959e-08 0 0.304396 1 0
4.60529e-08 0 0.304396 1 0
4.64099e-08 0 0.304396 1 0
4.67669e-08 0 0.304396 1 0
4.71239e-08 0 0.304396 1 0
4.74809e-08 0 0.304396 1 0
4.78379e-08 0 0.304396 1 0
4.81949e-08 0 0.304396 1 0
4.85519e-08 0 0.304396 1 0
4.89089e-08 0 0.304396 1 0
4.92659e-08 0 0.304396 1 0
4.96229e-08 0 0.304396 1 0
4.99799e-08 0 0.304396 1 0
5.03369e-08 0 0.304396 1 0
5.06939e-08 0 0.304396 1 0
5.10509e-08 0 0.304396 1 0
5.14079e-08 0 0.304396 1 0
5.17649e-08 0 0.304396 1 0
5.21219e-08 0 0.304396 1 0
5.24789e-08 0 0.304396 1 0
5.28359e-08 0 0.304396 1 0
5.31929e-08 0 0.304396 1 0
5.35499e-08 0 0.304396 1 0
5.39069e-08 0 0.304396 1 0
5.42639e-08 0 0.304396 1 0
5.46209e-08 0 0.304396 1 0
5.49779e-08 0 0.304396 1 0
5.53349e-08 0 0.304396 1 0
5.56919e-08 0 0.304396 1 0
5.60489e-08 0 0.304396 1 0
5.64059e-08 0 0.304396 1 0
5.67629e-08 0 0.304396 1 0
5.71199e-08 0 0.304396 1 0
5.74769e-08 0 0.304396 1 0
5.78339e-08 0 0.304396 1 0
5.81909e-08 0 0.304396 1 0
5.85479e-08 0 0.304396 1 0
5.89049e-08 0 0.304396 1 0
