Time abs_alpha2 abs_beta2
0 1 0
3.56999e-10 0.999 0.000985853
7.13998e-10 0.996032 0.00393947
1.071e-09 0.991108 0.00884911
1.428e-09 0.984247 0.0156953
1.785e-09 0.975477 0.0244511
2.14199e-09 0.964832 0.0350817
2.49899e-09 0.952354 0.0475452
2.85599e-09 0.938093 0.0617923
3.21299e-09 0.922104 0.0777669
3.56999e-09 0.904451 0.0954058
3.92699e-09 0.885203 0.114639
4.28399e-09 0.864436 0.135392
4.64099e-09 0.842232 0.157581
4.99799e-09 0.818679 0.181119
5.35499e-09 0.79387 0.205914
5.71199e-09 0.767902 0.231868
6.06899e-09 0.740878 0.258877
6.42598e-09 0.712905 0.286837
6.78298e-09 0.684092 0.315635
7.13998e-09 0.654553 0.345159
7.49698e-09 0.624406 0.375293
7.85398e-09 0.593768 0.405916
8.21098e-09 0.56276 0.436909
8.56798e-09 0.531505 0.46815
8.92498e-09 0.500127 0.499514
9.28198e-09 0.468748 0.530879
9.63898e-09 0.437492 0.56212
9.99598e-09 0.406483 0.593115
1.0353e-08 0.375843 0.623741
1.071e-08 0.345692 0.653877
1.1067e-08 0.31615 0.683405
1.1424e-08 0.287333 0.712207
1.1781e-08 0.259355 0.740171
1.2138e-08 0.232325 0.767187
1.2495e-08 0.206351 0.793147
1.2852e-08 0.181534 0.817949
1.3209e-08 0.157973 0.841495
1.3566e-08 0.135761 0.863694
1.3923e-08 0.114984 0.884456
1.428e-08 0.095725 0.903701
1.4637e-08 0.0780597 0.921351
1.4994e-08 0.0620577 0.937339
1.5351e-08 0.0477819 0.951601
1.5708e-08 0.0352885 0.96408
1.6065e-08 0.0246269 0.974727
1.6422e-08 0.0158388 0.983501
1.6779e-08 0.008959 0.990366
1.7136e-08 0.00401441 0.995296
1.7493e-08 0.00102447 0.998272
1.785e-08 9.06597e-07 0.999281
1.8207e-08 0.000947656 0.99832
1.8564e-08 0.0038609 0.995392
1.8921e-08 0.00872908 0.99051
1.9278e-08 0.0155329 0.983692
1.9635e-08 0.0242454 0.974965
1.9992e-08 0.0348323 0.964364
2.0349e-08 0.0472516 0.95193
2.0706e-08 0.0614543 0.937713
2.1063e-08 0.0773843 0.921769
2.14199e-08 0.0949787 0.90416
2.17769e-08 0.114168 0.884956
2.21339e-08 0.134877 0.864233
2.24909e-08 0.157023 0.842073
2.28479e-08 0.180519 0.818562
2.32049e-08 0.205273 0.793794
2.35619e-08 0.231186 0.767867
2.39189e-08 0.258156 0.740882
2.42759e-08 0.286078 0.712946
2.46329e-08 0.314841 0.684169
2.49899e-08 0.344331 0.654664
2.53469e-08 0.374432 0.624549
2.57039e-08 0.405025 0.593941
2.60609e-08 0.43599 0.562962
2.64179e-08 0.467204 0.531734
2.67749e-08 0.498545 0.500379
2.71319e-08 0.529888 0.469021
2.74889e-08 0.56111 0.437784
2.78459e-08 0.592089 0.406791
2.82029e-08 0.622701 0.376165
2.85599e-08 0.652826 0.346025
2.89169e-08 0.682346 0.316491
2.92739e-08 0.711143 0.28768
2.96309e-08 0.739104 0.259704
2.99879e-08 0.76612 0.232674
3.03449e-08 0.792082 0.206697
3.07019e-08 0.81689 0.181875
3.10589e-08 0.840445 0.158306
3.14159e-08 0.862655 0.136082
3.17729e-08 0.883431 0.115291
3.21299e-08 0.902692 0.0960159
3.24869e-08 0.920362 0.0783316
