p N0 N1 N2 N3 estimation xi_exact ECM exact_ECM fisher fisher_exact
0.0001 174 0 26 0 0.737671 0.785398 0.00500136 0.00500125 0.999729 0.99975
0.0051 175 0 25 0 0.719823 0.785398 0.00507198 0.00506424 0.985808 0.987315
0.0101 172 0 28 0 0.761687 0.785398 0.0051333 0.00512819 0.974031 0.975003
0.0151 174 0 26 0 0.729253 0.785398 0.00521268 0.00519311 0.959199 0.962814
0.0201 168 2 29 1 0.777285 0.785398 0.00526246 0.00525903 0.950125 0.950746
0.0251 169 1 28 2 0.759835 0.785398 0.00534009 0.00532596 0.936313 0.938798
0.0301 164 1 35 0 0.852238 0.785398 0.00535658 0.00539393 0.933431 0.926968
0.0351 170 0 28 2 0.752158 0.785398 0.00548954 0.00546295 0.910823 0.915256
0.0401 161 0 38 1 0.887954 0.785398 0.00546016 0.00553305 0.915723 0.90366
0.0451 171 2 24 3 0.689368 0.785398 0.00571959 0.00560425 0.874188 0.89218
0.0501 167 2 29 2 0.763169 0.785398 0.00570207 0.00567658 0.876875 0.880813
0.0551 162 4 33 1 0.821906 0.785398 0.00570868 0.00575005 0.875859 0.869558
0.0601 157 1 37 5 0.878466 0.785398 0.00572009 0.00582468 0.874112 0.858416
0.0651 164 6 27 3 0.734374 0.785398 0.00598358 0.00590051 0.835621 0.847384
0.0701 168 2 26 4 0.708179 0.785398 0.00612226 0.00597757 0.816692 0.836461
0.0751 161 6 30 3 0.776017 0.785398 0.00607232 0.00605586 0.823409 0.825647
0.0801 159 3 37 1 0.863806 0.785398 0.00601023 0.00613543 0.831914 0.814939
0.0851 158 6 25 11 0.706595 0.785398 0.00640136 0.00621629 0.781084 0.804338
0.0901 168 2 29 1 0.736956 0.785398 0.00641228 0.00629848 0.779754 0.793843
0.0951 157 8 30 5 0.774413 0.785398 0.00640746 0.00638202 0.780341 0.783451
0.1001 159 4 31 6 0.77966 0.785398 0.00648092 0.00646695 0.771495 0.773162
0.1051 148 8 39 5 0.905724 0.785398 0.00630771 0.00655329 0.79268 0.762975
0.1101 158 5 33 4 0.802467 0.785398 0.00659653 0.00664108 0.757974 0.75289
0.1151 160 10 25 5 0.680611 0.785398 0.00710468 0.00673034 0.703761 0.742905
0.1201 168 4 26 2 0.673069 0.785398 0.00725153 0.00682111 0.689509 0.733018
0.1251 154 6 31 9 0.777886 0.785398 0.00693752 0.00691343 0.720718 0.72323
0.1301 167 4 24 5 0.635665 0.785398 0.00770173 0.00700732 0.649205 0.71354
0.1351 167 4 23 6 0.614456 0.785398 0.00798071 0.00710282 0.626511 0.703945
0.1401 161 7 23 9 0.624771 0.785398 0.0080414 0.00719998 0.621782 0.694446
0.1451 149 8 35 8 0.833696 0.785398 0.00713102 0.00729882 0.701162 0.685042
0.1501 152 5 36 7 0.834556 0.785398 0.00722119 0.00739939 0.692407 0.675731
0.1551 148 8 34 10 0.817748 0.785398 0.00737533 0.00750173 0.677936 0.666513
0.1601 156 10 29 5 0.719835 0.785398 0.0079324 0.00760587 0.630327 0.657387
0.1651 143 8 42 7 0.927388 0.785398 0.00721681 0.00771186 0.692827 0.648352
0.1701 145 12 34 9 0.818027 0.785398 0.00767557 0.00781974 0.651417 0.639407
0.1751 148 11 30 11 0.747663 0.785398 0.00812933 0.00792956 0.615057 0.630552
