Time abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
0 1 0 1 0 0 0
1.785e-10 0.994077 0.00592298 0.996262 0.00373836 0.122645 0.136898
3.56999e-10 0.996006 0.00399392 0.999389 0.000610506 -0.0587678 -0.323189
5.35499e-10 0.999999 5.60888e-07 0.999378 0.000621913 -0.155849 -0.0448738
7.13998e-10 0.999877 0.000122821 0.989464 0.0105364 -0.0107291 0.0775028
8.92498e-10 0.997346 0.00265424 0.998297 0.00170302 -0.156643 -0.151079
1.071e-09 0.996625 0.00337483 0.977052 0.0229476 0.0442365 0.123972
1.2495e-09 0.994304 0.00569633 0.969352 0.0306482 0.0661905 -0.0590668
1.428e-09 0.990121 0.00987865 0.962505 0.0374948 0.0790934 0.0426793
1.6065e-09 0.997345 0.00265506 0.9823 0.0177002 -0.0648754 0.289183
1.785e-09 0.993239 0.00676137 0.949879 0.0501214 0.0924797 0.0298258
1.9635e-09 0.999296 0.000703889 0.976675 0.0233254 -0.0812413 -0.0350602
2.14199e-09 0.997149 0.00285129 0.979709 0.0202915 -0.130905 0.00118556
2.32049e-09 0.981182 0.0188179 0.916806 0.083194 0.141209 0.154732
2.49899e-09 0.983455 0.0165454 0.954673 0.0453272 -0.0433785 0.0925674
2.67749e-09 0.977186 0.0228143 0.933077 0.0669227 0.0196877 -0.202791
2.85599e-09 0.995251 0.00474949 0.97218 0.0278205 -0.194636 0.294189
3.03449e-09 0.995736 0.0042641 0.931981 0.0680193 -0.033455 -0.215388
3.21299e-09 0.991287 0.00871282 0.90741 0.0925899 0.0260928 -0.124237
3.39149e-09 0.993389 0.00661098 0.922232 0.0777677 -0.0553512 0.201484
3.56999e-09 0.997586 0.00241435 0.925049 0.074951 -0.0946151 0.196209
3.74849e-09 0.993646 0.00635408 0.878578 0.121422 0.0323606 0.0634444
3.92699e-09 0.986553 0.0134475 0.864415 0.135585 0.0436681 -0.0454277
4.10549e-09 0.959171 0.0408288 0.816181 0.183819 0.144316 -0.256603
4.28399e-09 0.975427 0.0245731 0.898425 0.101575 -0.123524 0.062427
4.46249e-09 0.98481 0.0151897 0.881065 0.118935 -0.0990354 -0.360818
4.64099e-09 0.993346 0.00665428 0.875718 0.124282 -0.113999 -0.119441
4.81949e-09 0.977747 0.0222527 0.781633 0.218367 0.106632 -0.0969739
4.99799e-09 0.993348 0.00665243 0.872649 0.127351 -0.165099 0.202958
5.17649e-09 0.997979 0.00202085 0.840566 0.159434 -0.104367 -0.00187239
5.35499e-09 0.997855 0.00214467 0.799559 0.200441 -0.0284343 -0.342377
5.53349e-09 0.999951 4.88438e-05 0.829139 0.170861 -0.135638 -0.0268546
5.71199e-09 0.996594 0.00340643 0.719205 0.280795 0.0977186 -0.10484
5.89049e-09 0.996607 0.00339348 0.762343 0.237657 -0.0313132 0.0708575
6.06899e-09 0.996958 0.00304189 0.751399 0.248601 -0.0371377 -0.237451
6.24749e-09 0.991406 0.00859413 0.701281 0.298719 0.0439733 -0.190791
6.42598e-09 0.987759 0.0122411 0.70472 0.29528 0.0055003 0.00584319
6.60448e-09 0.997573 0.00242675 0.761321 0.238679 -0.15397 -0.109374
6.78298e-09 0.987438 0.0125617 0.632838 0.367162 0.0956832 -0.121867
6.96148e-09 0.937278 0.0627215 0.541045 0.458955 0.251874 0.0734543
7.13998e-09 0.926616 0.0733838 0.644017 0.355983 0.0117487 0.124271
7.31848e-09 0.904472 0.0955278 0.61216 0.38784 0.0485176 0.221679
7.49698e-09 0.865139 0.134861 0.575422 0.424578 0.0924687 0.0286772
7.67548e-09 0.853869 0.146131 0.604847 0.395153 0.00138154 -0.0533154
7.85398e-09 0.834832 0.165168 0.580537 0.419463 0.0212606 0.185795
8.03248e-09 0.825008 0.174992 0.577689 0.422311 -0.00408121 -0.014476
8.21098e-09 0.837405 0.162595 0.591929 0.408071 -0.0635129 0.0847568
8.38948e-09 0.878681 0.121319 0.618002 0.381998 -0.148268 -0.161509
8.56798e-09 0.862698 0.137302 0.520981 0.479019 0.0166487 -0.21133
8.74648e-09 0.843408 0.156592 0.502037 0.497963 0.0231356 -0.143485
8.92498e-09 0.836774 0.163226 0.50479 0.49521 -0.0127422 0.106192
9.10348e-09 0.789352 0.210648 0.438892 0.561108 0.0905489 0.257176
9.28198e-09 0.766431 0.233569 0.456593 0.543407 0.024225 0.056408
9.46048e-09 0.722237 0.277763 0.418762 0.581238 0.070784 0.175414
9.63898e-09 0.662401 0.337599 0.388618 0.611382 0.100822 -0.138433
9.81748e-09 0.590869 0.409131 0.365468 0.634532 0.117652 0.017138
9.99598e-09 0.5228 0.4772 0.355755 0.644245 0.106862 0.00130064
