Temps theta phi abs_alpha2 abs_beta2
0 0 0 1 0
3.56999e-10 0.0411077 0.315094 0.999578 0.000422402
7.13998e-10 0.100481 -2.67741 0.997478 0.00252196
1.071e-09 0.00684272 0.751407 0.999988 1.17057e-05
1.428e-09 0.0625228 1.05962 0.999023 0.000976958
1.785e-09 0.10746 -1.51534 0.997116 0.00288414
2.14199e-09 0.0371543 -1.39412 0.999655 0.000345071
2.49899e-09 0.0283561 2.09451 0.999799 0.000201003
2.85599e-09 0.0246614 -0.70658 0.999848 0.000152038
3.21299e-09 0.0155825 2.57264 0.999939 6.07025e-05
3.56999e-09 0.0296004 2.79776 0.999781 0.00021903
3.92699e-09 0.0149665 -2.93635 0.999944 5.59978e-05
4.28399e-09 0.114425 -2.53567 0.99673 0.00326968
4.64099e-09 0.000983976 -2.22148 1 2.42052e-07
4.99799e-09 0.0171773 -1.88881 0.999926 7.37632e-05
5.35499e-09 0.137671 1.68516 0.995269 0.00473087
5.71199e-09 0.016184 2.0832 0.999935 6.54791e-05
6.06899e-09 0.0673364 -0.531398 0.998867 0.00113312
6.42598e-09 0.00307059 -0.413614 0.999998 2.35712e-06
6.78298e-09 0.110429 0.130439 0.996954 0.00304552
7.13998e-09 0.0840206 0.260316 0.998236 0.00176383
7.49698e-09 0.101069 -2.38864 0.997448 0.00255154
7.85398e-09 0.00250823 -1.95054 0.999998 1.5728e-06
8.21098e-09 0.0429582 1.4522 0.999539 0.00046128
8.56798e-09 0.00927788 1.75215 0.999978 2.15196e-05
8.92498e-09 0.0955007 1.89339 0.997722 0.00227836
9.28198e-09 0.0447937 2.07133 0.999498 0.000501534
9.63898e-09 0.00276882 2.47556 0.999998 1.9166e-06
9.99598e-09 0.00844117 -0.56413 0.999982 1.78132e-05
1.0353e-08 0.118085 2.94951 0.996518 0.00348196
1.071e-08 0.0533593 -2.87203 0.999288 0.000711635
1.1067e-08 0.150257 0.811618 0.994366 0.0056337
1.1424e-08 0.0958758 -1.89024 0.997704 0.00229628
1.1781e-08 0.0512124 1.48706 0.999344 0.000655534
1.2138e-08 0.00376502 -1.31965 0.999996 3.54385e-06
1.2495e-08 0.0735459 -1.01368 0.998648 0.00135164
1.2852e-08 0.0445562 2.56416 0.999504 0.000496231
1.3209e-08 0.0255495 -0.0791525 0.999837 0.000163186
1.3566e-08 0.0107235 -2.99159 0.999971 2.8748e-05
1.3923e-08 0.101904 -2.92088 0.997406 0.00259384
1.428e-08 0.0473621 0.498304 0.999439 0.000560687
1.4637e-08 0.053581 -2.32105 0.999282 0.000717559
1.4994e-08 0.0502214 -1.94354 0.99937 0.000630416
1.5351e-08 0.0634893 1.48635 0.998993 0.00100738
1.5708e-08 0.072744 -1.23691 0.998678 0.00132234
1.6065e-08 0.0355087 -0.749149 0.999685 0.000315184
1.6422e-08 0.0549675 -0.328632 0.999245 0.000755165
1.6779e-08 0.0173319 -0.0793502 0.999925 7.5097e-05
1.7136e-08 0.00959319 -2.95333 0.999977 2.30072e-05
1.7493e-08 0.0200454 -2.78042 0.9999 0.000100451
1.785e-08 0.0335338 -2.54197 0.999719 0.000281103
1.8207e-08 0.094596 -1.98208 0.997765 0.00223543
1.8564e-08 0.0403773 1.62008 0.999592 0.000407527
1.8921e-08 0.114299 -1.37405 0.996737 0.00326252
1.9278e-08 0.00232156 -0.951145 0.999999 1.34741e-06
1.9635e-08 0.0411914 2.52791 0.999576 0.000424124
1.9992e-08 0.0295612 -0.247356 0.999782 0.00021845
2.0349e-08 0.0629192 -2.99236 0.999011 0.00098938
2.0706e-08 0.00166571 -2.55248 0.999999 6.93648e-07
2.1063e-08 0.0707952 0.978879 0.998748 0.00125247
2.14199e-08 0.0385059 1.18424 0.999629 0.000370631
2.17769e-08 0.0612568 -1.621 0.999062 0.000937806
2.21339e-08 0.04952 1.85069 0.999387 0.000612932
2.24909e-08 0.00382312 -1.003 0.999996 3.65406e-06
2.28479e-08 0.0334805 -0.688542 0.99972 0.000280209
2.32049e-08 0.0728774 -0.102879 0.998673 0.00132719
2.35619e-08 0.0828674 -2.9767 0.998284 0.00171577
2.39189e-08 0.00841165 -2.69105 0.999982 1.76888e-05
2.42759e-08 0.0358852 -2.44244 0.999678 0.000321902
2.46329e-08 0.00178411 1.0782 0.999999 7.95759e-07
2.49899e-08 0.123496 -1.71004 0.996192 0.00380796
2.53469e-08 0.0304909 -1.34872 0.999768 0.000232406
2.57039e-08 0.0373368 2.04313 0.999652 0.000348469
2.60609e-08 0.0532573 -0.597566 0.999291 0.000708917
