Time alpha beta abs_alpha2 abs_beta2
0 (1,0) (0,0) 1 0
1.785e-10 (0.987567,-0.156414) (0.0024571,-0.0155135) 0.999753 0.000246707
3.56999e-10 (0.950587,-0.308863) (0.00970621,-0.0298727) 0.999013 0.000986586
5.35499e-10 (0.890018,-0.453484) (0.0213853,-0.0419711) 0.99778 0.0022189
7.13998e-10 (0.807422,-0.586623) (0.0369064,-0.0507973) 0.996057 0.00394245
8.92498e-10 (0.704929,-0.704924) (0.0554775,-0.0554775) 0.993843 0.00615551
1.071e-09 (0.58518,-0.805424) (0.0761333,-0.0553141) 0.991143 0.00885592
1.2495e-09 (0.451253,-0.885623) (0.0977715,-0.049817) 0.987957 0.012041
1.428e-09 (0.306586,-0.943555) (0.119196,-0.0387291) 0.984291 0.0157076
1.6065e-09 (0.15488,-0.977833) (0.139163,-0.0220412) 0.980146 0.0198521
1.785e-09 (7.33525e-06,-0.987688) (0.15643,-2.77556e-17) 0.975527 0.0244705
1.9635e-09 (-0.154097,-0.972982) (0.169808,0.0268949) 0.970439 0.0295581
2.14199e-09 (-0.303535,-0.934213) (0.178206,0.0579025) 0.964887 0.0351099
2.32049e-09 (-0.444549,-0.872498) (0.18068,0.0920611) 0.958877 0.0411205
2.49899e-09 (-0.573621,-0.789539) (0.176477,0.128218) 0.952413 0.047584
2.67749e-09 (-0.687561,-0.687577) (0.165066,0.165066) 0.945503 0.0544939
2.85599e-09 (-0.783593,-0.569328) (0.146172,0.201189) 0.938153 0.0618434
3.03449e-09 (-0.859421,-0.437911) (0.119793,0.235106) 0.930371 0.0696253
3.21299e-09 (-0.91329,-0.29676) (0.0862107,0.265329) 0.922164 0.0778319
3.39149e-09 (-0.944024,-0.149533) (0.0459968,0.290412) 0.913541 0.0864551
3.56999e-09 (-0.951057,-1.44899e-05) (-1.31839e-16,0.309009) 0.904509 0.0954864
3.74849e-09 (-0.93444,0.147985) (-0.0506705,0.319921) 0.895078 0.104917
3.92699e-09 (-0.894836,0.290733) (-0.104673,0.32215) 0.885258 0.114737
4.10549e-09 (-0.833495,0.424668) (-0.16047,0.31494) 0.875057 0.124938
4.28399e-09 (-0.752216,0.546496) (-0.216372,0.297811) 0.864486 0.135508
4.46249e-09 (-0.653295,0.65327) (-0.270591,0.270591) 0.853556 0.146439
4.64099e-09 (-0.539459,0.742469) (-0.321291,0.233431) 0.842276 0.157718
4.81949e-09 (-0.413786,0.812059) (-0.366652,0.186819) 0.830659 0.169335
4.99799e-09 (-0.279626,0.860537) (-0.404929,0.13157) 0.818715 0.181278
5.17649e-09 (-0.140503,0.88697) (-0.434511,0.0688198) 0.806457 0.193536
5.35499e-09 (-2.12877e-05,0.891009) (-0.453978,-5.13478e-16) 0.793897 0.206096
5.53349e-09 (0.13823,0.872891) (-0.462157,-0.0731984) 0.781046 0.218947
5.71199e-09 (0.270773,0.833427) (-0.458163,-0.148866) 0.767918 0.232074
5.89049e-09 (0.394331,0.77397) (-0.441445,-0.224928) 0.754526 0.245466
6.06899e-09 (0.505914,0.696372) (-0.411812,-0.299199) 0.740883 0.259109
6.24749e-09 (0.602893,0.602928) (-0.369452,-0.369452) 0.727002 0.27299
6.42598e-09 (0.683064,0.496306) (-0.314943,-0.433482) 0.712897 0.287095
6.60448e-09 (0.744702,0.379474) (-0.249245,-0.48917) 0.698581 0.30141
6.78298e-09 (0.786597,0.255609) (-0.173689,-0.534559) 0.68407 0.315921
6.96148e-09 (0.808078,0.128014) (-0.0899483,-0.567911) 0.669378 0.330614
7.13998e-09 (0.809023,2.75614e-05) (1.20737e-15,-0.58777) 0.654518 0.345473
7.31848e-09 (0.78985,-0.125071) (0.093924,-0.593013) 0.639505 0.360486
7.49698e-09 (0.751497,-0.244146) (0.189394,-0.582894) 0.624355 0.375635
7.67548e-09 (0.695388,-0.354285) (0.283847,-0.557081) 0.609082 0.390908
7.85398e-09 (0.623382,-0.452876) (0.374659,-0.515673) 0.593702 0.406288
8.03248e-09 (0.537715,-0.537672) (0.459217,-0.459217) 0.578229 0.421761
8.21098e-09 (0.440934,-0.606841) (0.534999,-0.388699) 0.562679 0.437311
8.38948e-09 (0.335817,-0.659009) (0.599643,-0.305533) 0.547067 0.452923
8.56798e-09 (0.225297,-0.693289) (0.651026,-0.211531) 0.531408 0.468581
8.74648e-09 (0.112373,-0.709289) (0.687327,-0.108862) 0.515719 0.48427
8.92498e-09 (3.31564e-05,-0.707117) (0.707089,1.48492e-15) 0.500014 0.499975
9.10348e-09 (-0.108833,-0.687361) (0.709267,0.112337) 0.484309 0.515679
9.28198e-09 (-0.211508,-0.651064) (0.693273,0.225258) 0.46862 0.531369
9.46048e-09 (-0.305516,-0.599684) (0.659,0.335777) 0.452961 0.547027
9.63898e-09 (-0.388688,-0.535043) (0.606837,0.440893) 0.437349 0.562639
9.81748e-09 (-0.459213,-0.459263) (0.537675,0.537675) 0.421799 0.578189
9.99598e-09 (-0.515676,-0.374705) (0.452885,0.623343) 0.406326 0.593661
1.01745e-08 (-0.557091,-0.283893) (0.354299,0.695352) 0.390945 0.609042
1.0353e-08 (-0.582911,-0.189438) (0.244165,0.751464) 0.375672 0.624315
1.05315e-08 (-0.593037,-0.0939657) (0.125095,0.78982) 0.360522 0.639465
1.071e-08 (-0.5878,-3.79351e-05) (-4.44089e-16,0.808998) 0.345509 0.654477
1.08885e-08 (-0.567948,0.0899152) (-0.127984,0.808058) 0.330649 0.669337
1.1067e-08 (-0.534601,0.173661) (-0.255576,0.786582) 0.315956 0.68403
1.12455e-08 (-0.489216,0.249224) (-0.37944,0.744692) 0.301445 0.698541
1.1424e-08 (-0.43353,0.314929) (-0.496272,0.68306) 0.287129 0.712856
1.16025e-08 (-0.369503,0.369447) (-0.602894,0.602894) 0.273024 0.726962
1.1781e-08 (-0.299251,0.411814) (-0.696339,0.50592) 0.259142 0.740843
1.19595e-08 (-0.224979,0.441456) (-0.773939,0.394342) 0.245498 0.754486
1.2138e-08 (-0.148915,0.458181) (-0.833398,0.270788) 0.232106 0.767879
1.23165e-08 (-0.0732445,0.462182) (-0.872866,0.138248) 0.218977 0.781007
1.2495e-08 (-4.17797e-05,0.454012) (-0.890987,1.83187e-15) 0.206126 0.793858
1.26735e-08 (0.0687834,0.434551) (-0.886952,-0.140479) 0.193565 0.806418
1.2852e-08 (0.13154,0.404974) (-0.860523,-0.279601) 0.181307 0.818677
1.30305e-08 (0.186796,0.366702) (-0.812049,-0.41376) 0.169363 0.830621
1.3209e-08 (0.233417,0.321344) (-0.742463,-0.539431) 0.157745 0.842238
1.33875e-08 (0.270584,0.270646) (-0.653268,-0.653268) 0.146465 0.853518
1.3566e-08 (0.297813,0.216428) (-0.546498,-0.75219) 0.135534 0.864449
1.37445e-08 (0.314951,0.160525) (-0.424674,-0.83347) 0.124962 0.87502
1.3923e-08 (0.32217,0.104726) (-0.290742,-0.894813) 0.114761 0.885221
1.41015e-08 (0.319949,0.0507198) (-0.147997,-0.934419) 0.10494 0.895042
1.428e-08 (0.309044,4.45956e-05) (-4.996e-15,-0.951038) 0.0955083 0.904474
1.44585e-08 (0.290455,-0.0459581) (0.149516,-0.944008) 0.0864761 0.913506
1.4637e-08 (0.265377,-0.086179) (0.296742,-0.913276) 0.0778519 0.922129
1.48155e-08 (0.235159,-0.119769) (0.437892,-0.859411) 0.0696443 0.930337
1.4994e-08 (0.201245,-0.146157) (0.569309,-0.783586) 0.0618615 0.93812
1.51725e-08 (0.165125,-0.16506) (0.687557,-0.687557) 0.0545109 0.94547
1.5351e-08 (0.128277,-0.17648) (0.78952,-0.57362) 0.0476 0.952381
1.55295e-08 (0.0921188,-0.180692) (0.872479,-0.44455) 0.0411355 0.958845
1.5708e-08 (0.0579578,-0.178227) (0.934195,-0.303538) 0.0351238 0.964856
1.58865e-08 (0.0269464,-0.169838) (0.972965,-0.154103) 0.0295709 0.970409
1.6065e-08 (4.63134e-05,-0.156468) (0.987673,-8.60423e-15) 0.0244822 0.975497
1.62435e-08 (-0.0220013,-0.139207) (0.97782,0.154871) 0.0198628 0.980117
1.6422e-08 (-0.0386966,-0.119246) (0.943543,0.306576) 0.0157171 0.984262
1.66005e-08 (-0.0497928,-0.0978266) (0.885613,0.451242) 0.0120494 0.98793
1.6779e-08 (-0.0552988,-0.0761917) (0.805415,0.585168) 0.00886314 0.991116
1.69575e-08 (-0.0554717,-0.0555378) (0.704917,0.704917) 0.00616156 0.993817
1.7136e-08 (-0.0508011,-0.036967) (0.586618,0.80741) 0.00394731 0.996031
1.73145e-08 (-0.0419845,-0.0214447) (0.453481,0.890006) 0.00222257 0.997755
1.7493e-08 (-0.0298953,-0.00976287) (0.308861,0.950576) 0.000989045 0.998989
1.76715e-08 (-0.015545,-0.00250956) (0.156413,0.987555) 0.000247945 0.99973
1.785e-08 (-3.94519e-05,-4.68909e-05) (1.17961e-14,0.999989) 3.75522e-09 0.999977
1.80285e-08 (0.0154671,-0.00249721) (-0.156413,0.987556) 0.000245466 0.999732
1.8207e-08 (0.0298203,-0.00973849) (-0.308861,0.950577) 0.00098409 0.998993
1.83855e-08 (0.0419142,-0.0214089) (-0.453482,0.890009) 0.00221515 0.997762
1.8564e-08 (0.0507374,-0.0369207) (-0.58662,0.807413) 0.00393742 0.996039
1.87425e-08 (0.055416,-0.0554822) (-0.704921,0.704921) 0.00614921 0.993827
1.8921e-08 (0.0552526,-0.0761281) (-0.80542,0.585172) 0.00884833 0.991128
1.90995e-08 (0.0497572,-0.0977566) (-0.885619,0.451245) 0.0120321 0.987944
1.9278e-08 (0.0386723,-0.119172) (-0.943551,0.306578) 0.0156974 0.984278
1.94565e-08 (0.021989,-0.13913) (-0.977829,0.154873) 0.0198407 0.980135
1.9635e-08 (-4.63139e-05,-0.15639) (-0.987683,1.45717e-14) 0.0244577 0.975517
1.98135e-08 (-0.0269342,-0.16976) (-0.972976,-0.154104) 0.029544 0.970431
1.9992e-08 (-0.0579337,-0.178152) (-0.934207,-0.303542) 0.0350946 0.96488
2.01705e-08 (-0.0920834,-0.180623) (-0.872491,-0.444556) 0.0411039 0.95887
2.0349e-08 (-0.128231,-0.176417) (-0.789531,-0.573628) 0.0475661 0.952408
2.05275e-08 (-0.16507,-0.165005) (-0.687568,-0.687568) 0.0544747 0.945499
2.0706e-08 (-0.201183,-0.146112) (-0.569318,-0.783599) 0.061823 0.938151
2.08845e-08 (-0.23509,-0.119734) (-0.4379,-0.859426) 0.0696036 0.93037
2.1063e-08 (-0.265304,-0.0861552) (-0.296747,-0.913294) 0.077809 0.922164
2.12415e-08 (-0.290379,-0.0459461) (-0.149519,-0.944027) 0.086431 0.913542
2.14199e-08 (-0.308968,4.45965e-05) (-1.74305e-14,-0.951058) 0.0954611 0.904512
2.15984e-08 (-0.319874,0.0507079) (0.148001,-0.93444) 0.10489 0.895082
2.17769e-08 (-0.322098,0.104702) (0.290749,-0.894834) 0.11471 0.885263
2.19554e-08 (-0.314884,0.16049) (0.424685,-0.83349) 0.124909 0.875063
2.21339e-08 (-0.297752,0.216384) (0.546512,-0.752209) 0.135478 0.864493
2.23124e-08 (-0.270531,0.270593) (0.653286,-0.653286) 0.146408 0.853564
2.24909e-08 (-0.233373,0.321283) (0.742484,-0.539447) 0.157686 0.842286
2.26694e-08 (-0.186762,0.366635) (0.812073,-0.413772) 0.169302 0.83067
2.28479e-08 (-0.131517,0.404904) (0.86055,-0.27961) 0.181244 0.818727
2.30264e-08 (-0.0687719,0.434478) (0.886981,-0.140484) 0.193501 0.80647
2.32049e-08 (4.17811e-05,0.453938) (0.891017,-2.05669e-14) 0.20606 0.793911
2.33834e-08 (0.073233,0.46211) (0.872896,0.138253) 0.218909 0.781061
2.35619e-08 (0.148893,0.458112) (0.833429,0.270797) 0.232036 0.767934
2.37404e-08 (0.224946,0.441391) (0.773968,0.394356) 0.245427 0.754543
2.39189e-08 (0.299208,0.411756) (0.696366,0.50594) 0.259069 0.740901
2.40974e-08 (0.369453,0.369396) (0.602918,0.602918) 0.272949 0.72702
2.42759e-08 (0.433473,0.314888) (0.496293,0.683088) 0.287053 0.712916
2.44544e-08 (0.489153,0.249192) (0.379456,0.744725) 0.301367 0.698602
2.46329e-08 (0.534534,0.17364) (0.255587,0.786617) 0.315877 0.684091
2.48114e-08 (0.567879,0.0899043) (0.12799,0.808095) 0.330569 0.669399
2.49899e-08 (0.587731,-3.79369e-05) (2.43972e-14,0.809037) 0.345428 0.65454
2.51684e-08 (0.592969,-0.093955) (-0.125101,0.78986) 0.36044 0.639529
2.53469e-08 (0.582846,-0.189417) (-0.244178,0.751503) 0.375589 0.624379
2.55254e-08 (0.55703,-0.283862) (-0.354318,0.695389) 0.390861 0.609107
2.57039e-08 (0.515622,-0.374666) (-0.45291,0.623377) 0.40624 0.593727
2.58824e-08 (0.459166,-0.459216) (-0.537706,0.537706) 0.421712 0.578255
2.60609e-08 (0.388649,-0.534989) (-0.606873,0.440919) 0.437262 0.562705
2.62394e-08 (0.305486,-0.599626) (-0.65904,0.335798) 0.452873 0.547094
2.64179e-08 (0.211487,-0.651002) (-0.693317,0.225272) 0.468531 0.531436
2.65964e-08 (0.108823,-0.687297) (-0.709313,0.112344) 0.48422 0.515747
2.67749e-08 (-3.31587e-05,-0.707053) (-0.707137,2.93238e-14) 0.499924 0.500042
2.69534e-08 (-0.112364,-0.709227) (-0.687375,-0.10887) 0.515628 0.484338
2.71319e-08 (-0.225278,-0.693229) (-0.651073,-0.211547) 0.531317 0.468648
2.73104e-08 (-0.335789,-0.658954) (-0.599688,-0.305556) 0.546975 0.45299
2.74889e-08 (-0.440898,-0.606791) (-0.53504,-0.388729) 0.562587 0.437378
2.76674e-08 (-0.537672,-0.537629) (-0.459254,-0.459254) 0.578137 0.421828
2.78459e-08 (-0.623333,-0.452841) (-0.37469,-0.515716) 0.593609 0.406355
2.80244e-08 (-0.695335,-0.354258) (-0.283871,-0.557128) 0.608989 0.390975
2.82029e-08 (-0.751441,-0.244128) (-0.189411,-0.582946) 0.624262 0.375702
2.83814e-08 (-0.789792,-0.125062) (-0.0939326,-0.593067) 0.639412 0.360552
2.85599e-08 (-0.808965,2.7564e-05) (-3.55271e-14,-0.587826) 0.654425 0.345539
2.87384e-08 (-0.808022,0.128005) (0.0899571,-0.567967) 0.669285 0.330679
2.89169e-08 (-0.786544,0.255591) (0.173706,-0.534614) 0.683978 0.315986
2.90954e-08 (-0.744653,0.379449) (0.249271,-0.489222) 0.698489 0.301474
2.92739e-08 (-0.68302,0.496274) (0.314977,-0.433529) 0.712805 0.287158
2.94524e-08 (-0.602855,0.60289) (0.369495,-0.369495) 0.72691 0.273053
