Noise Level,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,1,0,1,0
0.01,3.56999e-10,0.999576,0.000423676,0.998914,0.00108561
0.01,7.13998e-10,0.996723,0.00327668,0.993688,0.00631167
0.01,1.071e-09,0.990483,0.00951682,0.986933,0.0130667
0.01,1.428e-09,0.98448,0.0155201,0.982551,0.0174485
0.01,1.785e-09,0.979867,0.0201331,0.97643,0.0235696
0.01,2.14199e-09,0.968622,0.0313781,0.959055,0.0409453
0.01,2.49899e-09,0.954932,0.0450681,0.945664,0.0543362
0.01,2.85599e-09,0.937036,0.0629638,0.928661,0.0713392
0.01,3.21299e-09,0.9262,0.0737999,0.921709,0.0782912
0.01,3.56999e-09,0.914446,0.0855541,0.903892,0.0961081
0.01,3.92699e-09,0.900799,0.099201,0.8834,0.1166
0.01,4.28399e-09,0.886385,0.113615,0.862599,0.137401
0.01,4.64099e-09,0.861259,0.138741,0.829504,0.170496
0.01,4.99799e-09,0.840984,0.159016,0.812612,0.187388
0.01,5.35499e-09,0.81271,0.18729,0.78028,0.21972
0.01,5.71199e-09,0.775147,0.224853,0.745914,0.254086
0.01,6.06899e-09,0.755146,0.244854,0.738422,0.261578
0.01,6.42598e-09,0.714711,0.285289,0.689987,0.310013
0.01,6.78298e-09,0.699799,0.300201,0.688185,0.311815
0.01,7.13998e-09,0.667224,0.332776,0.64094,0.35906
0.01,7.49698e-09,0.642719,0.357281,0.619699,0.380301
0.01,7.85398e-09,0.623476,0.376524,0.594633,0.405367
0.01,8.21098e-09,0.589338,0.410662,0.548897,0.451103
0.01,8.56798e-09,0.564769,0.435231,0.527723,0.472277
0.01,8.92498e-09,0.550512,0.449488,0.506882,0.493118
0.01,9.28198e-09,0.526163,0.473837,0.465518,0.534482
0.01,9.63898e-09,0.490871,0.509129,0.423492,0.576508
0.01,9.99598e-09,0.455135,0.544865,0.392159,0.607841
0.01,1.0353e-08,0.432214,0.567786,0.374021,0.625979
0.01,1.071e-08,0.398534,0.601466,0.333384,0.666616
0.01,1.1067e-08,0.3733,0.6267,0.311763,0.688237
0.01,1.1424e-08,0.349459,0.650541,0.284119,0.715881
0.01,1.1781e-08,0.311173,0.688827,0.242511,0.757489
0.01,1.2138e-08,0.282146,0.717854,0.22354,0.77646
0.01,1.2495e-08,0.260784,0.739216,0.204247,0.795753
0.01,1.2852e-08,0.225415,0.774585,0.166477,0.833523
0.01,1.3209e-08,0.207695,0.792305,0.157839,0.842161
0.01,1.3566e-08,0.179934,0.820066,0.12657,0.87343
0.01,1.3923e-08,0.159517,0.840483,0.111341,0.888659
0.01,1.428e-08,0.134067,0.865933,0.0873978,0.912602
0.01,1.4637e-08,0.111306,0.888694,0.0711835,0.928817
0.01,1.4994e-08,0.0899062,0.910094,0.055496,0.944504
0.01,1.5351e-08,0.0729517,0.927048,0.0439272,0.956073
0.01,1.5708e-08,0.0547372,0.945263,0.0297856,0.970214
0.01,1.6065e-08,0.043963,0.956037,0.0237286,0.976271
0.01,1.6422e-08,0.0356458,0.964354,0.0160746,0.983925
0.01,1.6779e-08,0.0225145,0.977486,0.00606386,0.993936
