Time theta phi abs_alpha2 abs_beta2
0 0 0 1 0
3.56999e-10 -0.0266802 0.439501 0.999822 0.000177947
7.13998e-10 -0.13116 -2.25287 0.995705 0.00429456
1.071e-09 0.137302 1.79338 0.995294 0.00470556
1.428e-09 0.126539 2.15382 0.996002 0.0039977
1.785e-09 0.156071 2.85685 0.993923 0.00607715
2.14199e-09 0.26205 -2.68584 0.98293 0.0170696
2.49899e-09 0.362412 -2.05856 0.967522 0.0324778
2.85599e-09 0.416278 -1.56419 0.9573 0.0426998
3.21299e-09 0.463805 -0.877449 0.947178 0.0528215
3.56999e-09 0.43287 -0.158163 0.953883 0.0461172
3.92699e-09 0.447166 0.466526 0.950838 0.0491618
4.28399e-09 0.450351 1.06177 0.950147 0.0498529
4.64099e-09 0.445725 1.84656 0.951149 0.0488509
4.99799e-09 0.408381 2.46745 0.958883 0.0411175
5.35499e-09 0.400334 3.11469 0.960465 0.0395345
5.71199e-09 0.53284 -2.66521 0.930684 0.0693162
6.06899e-09 0.531459 -2.18958 0.931034 0.0689658
6.42598e-09 0.559765 -1.41273 0.92369 0.0763099
6.78298e-09 0.538919 -0.781167 0.929132 0.0708681
7.13998e-09 0.577794 -0.29647 0.918835 0.0811652
7.49698e-09 0.596106 0.379053 0.913764 0.0862359
7.85398e-09 0.457432 0.656939 0.948595 0.0514052
8.21098e-09 0.4889 1.15649 0.941425 0.0585749
8.56798e-09 0.515031 1.70023 0.935139 0.0648614
8.92498e-09 0.515348 2.35683 0.935061 0.0649394
9.28198e-09 0.578395 2.84426 0.91867 0.0813295
9.63898e-09 0.563396 -2.81824 0.922723 0.0772769
9.99598e-09 0.619748 -2.18481 0.907013 0.0929874
1.0353e-08 0.725401 -1.68116 0.874117 0.125883
1.071e-08 0.66995 -1.03216 0.891926 0.108074
1.1067e-08 0.728929 -0.288711 0.872944 0.127056
1.1424e-08 0.639055 0.348722 0.90133 0.0986702
1.1781e-08 0.767101 1.08583 0.859963 0.140037
1.2138e-08 0.703992 1.7457 0.881132 0.118868
1.2495e-08 0.718261 2.44626 0.876476 0.123524
1.2852e-08 0.667959 3.17786 0.892544 0.107456
1.3209e-08 0.614077 -2.35805 0.908653 0.0913472
1.3566e-08 0.63337 -1.6245 0.903019 0.0969813
1.3923e-08 0.582335 -1.04353 0.91759 0.0824095
1.428e-08 0.579426 -0.487628 0.918389 0.0816114
1.4637e-08 0.468542 0.0608549 0.946114 0.0538861
1.4994e-08 0.391068 0.539877 0.962251 0.0377487
1.5351e-08 0.369322 1.39129 0.966286 0.0337138
1.5708e-08 0.42891 2.23737 0.95471 0.0452902
1.6065e-08 0.29088 2.95926 0.978996 0.0210041
1.6422e-08 0.30578 -2.30988 0.976806 0.0231937
1.6779e-08 0.261492 -1.72067 0.983003 0.0169974
1.7136e-08 0.159837 -1.34254 0.993627 0.0063734
1.7493e-08 0.255847 -0.450568 0.983725 0.0162754
1.785e-08 0.227797 0.202893 0.987083 0.0129169
1.8207e-08 0.209741 0.790498 0.989042 0.0109575
1.8564e-08 0.20614 1.47504 0.989414 0.0105858
1.8921e-08 0.230828 2.01331 0.986739 0.0132614
1.9278e-08 0.158997 2.66895 0.993693 0.00630672
1.9635e-08 0.114376 3.40901 0.996733 0.00326692
1.9992e-08 0.0294979 -2.16424 0.999782 0.000217515
2.0349e-08 -0.0337186 -1.56477 0.999716 0.000284209
2.0706e-08 0.00834782 2.16267 0.999983 1.74214e-05
2.1063e-08 -0.0177708 2.87557 0.999921 7.89482e-05
2.14199e-08 -0.0870591 0.172616 0.998106 0.00189362
2.17769e-08 0.119389 -2.41651 0.996441 0.00355917
2.21339e-08 0.155151 -1.86367 0.993994 0.00600592
2.24909e-08 0.136051 -1.34755 0.99538 0.00462037
2.28479e-08 0.12975 -0.530871 0.995797 0.00420286
2.32049e-08 0.144578 0.237417 0.994783 0.00521661
2.35619e-08 0.0265097 0.792954 0.999824 0.000175681
2.39189e-08 -0.0101624 1.55322 0.999974 2.58183e-05
2.42759e-08 0.0935588 -0.915075 0.997813 0.00218672
2.46329e-08 -0.0312762 -0.228593 0.999755 0.00024453
2.49899e-08 0.121896 -2.755 0.99629 0.00371004
2.53469e-08 -0.00213794 -2.32077 0.999999 1.1427e-06
2.57039e-08 -0.0108628 1.19952 0.999971 2.94998e-05
2.60609e-08 0.0541299 -1.44016 0.999268 0.000732332
2.64179e-08 0.0422339 -0.815998 0.999554 0.000445859
