Time alpha beta abs_alpha2 abs_beta2
0 (1,0) (-0,0) 1 0
3.56999e-12 (0.99999,-0.00314157) (9.86957e-06,-0.00314157) 0.99999 9.86957e-06
7.13998e-12 (0.999961,-0.00628302) (3.94779e-05,-0.00628302) 0.999961 3.94779e-05
1.071e-11 (0.999911,-0.00942422) (8.88238e-05,-0.00942422) 0.999911 8.88238e-05
1.428e-11 (0.999842,-0.012565) (0.000157905,-0.012565) 0.999842 0.000157905
1.785e-11 (0.999753,-0.0157054) (0.00024672,-0.0157054) 0.999753 0.00024672
2.14199e-11 (0.999645,-0.0188451) (0.000355264,-0.0188451) 0.999645 0.000355264
2.49899e-11 (0.999516,-0.0219841) (0.000483533,-0.0219841) 0.999516 0.000483533
2.85599e-11 (0.999368,-0.0251222) (0.000631522,-0.0251222) 0.999368 0.000631522
3.21299e-11 (0.999201,-0.0282593) (0.000799225,-0.0282593) 0.999201 0.000799225
3.56999e-11 (0.999013,-0.0313953) (0.000986636,-0.0313953) 0.999013 0.000986636
3.92699e-11 (0.998806,-0.03453) (0.00119375,-0.03453) 0.998806 0.00119375
4.28399e-11 (0.998579,-0.0376634) (0.00142055,-0.0376634) 0.998579 0.00142055
4.64099e-11 (0.998333,-0.0407953) (0.00166704,-0.0407953) 0.998333 0.00166704
4.99799e-11 (0.998067,-0.0439256) (0.0019332,-0.0439256) 0.998067 0.0019332
5.35499e-11 (0.997781,-0.0470542) (0.00221902,-0.0470542) 0.997781 0.00221902
5.71199e-11 (0.997476,-0.0501809) (0.00252449,-0.0501809) 0.997476 0.00252449
6.06899e-11 (0.99715,-0.0533056) (0.0028496,-0.0533056) 0.99715 0.0028496
6.42598e-11 (0.996806,-0.0564282) (0.00319434,-0.0564282) 0.996806 0.00319434
6.78298e-11 (0.996441,-0.0595486) (0.0035587,-0.0595486) 0.996441 0.0035587
7.13998e-11 (0.996057,-0.0626666) (0.00394265,-0.0626666) 0.996057 0.00394265
7.49698e-11 (0.995654,-0.0657822) (0.00434618,-0.0657822) 0.995654 0.00434618
7.85398e-11 (0.995231,-0.0688951) (0.00476929,-0.0688951) 0.995231 0.00476929
8.21098e-11 (0.994788,-0.0720054) (0.00521194,-0.0720054) 0.994788 0.00521194
8.56798e-11 (0.994326,-0.0751128) (0.00567413,-0.0751128) 0.994326 0.00567413
8.92498e-11 (0.993844,-0.0782172) (0.00615583,-0.0782172) 0.993844 0.00615583
9.28198e-11 (0.993343,-0.0813186) (0.00665703,-0.0813186) 0.993343 0.00665703
9.63898e-11 (0.992822,-0.0844167) (0.0071777,-0.0844167) 0.992822 0.0071777
9.99598e-11 (0.992282,-0.0875115) (0.00771783,-0.0875115) 0.992282 0.00771783
1.0353e-10 (0.991723,-0.0906029) (0.0082774,-0.0906029) 0.991723 0.0082774
1.071e-10 (0.991144,-0.0936907) (0.00885637,-0.0936907) 0.991144 0.00885637
1.1067e-10 (0.990545,-0.0967747) (0.00945474,-0.0967747) 0.990545 0.00945474
1.1424e-10 (0.989928,-0.099855) (0.0100725,-0.099855) 0.989928 0.0100725
1.1781e-10 (0.98929,-0.102931) (0.0107095,-0.102931) 0.98929 0.0107095
1.2138e-10 (0.988634,-0.106004) (0.0113659,-0.106004) 0.988634 0.0113659
1.2495e-10 (0.987958,-0.109072) (0.0120416,-0.109072) 0.987958 0.0120416
1.2852e-10 (0.987263,-0.112135) (0.0127366,-0.112135) 0.987263 0.0127366
1.3209e-10 (0.986549,-0.115195) (0.0134507,-0.115195) 0.986549 0.0134507
1.3566e-10 (0.985816,-0.118249) (0.0141841,-0.118249) 0.985816 0.0141841
1.3923e-10 (0.985063,-0.1213) (0.0149367,-0.1213) 0.985063 0.0149367
1.428e-10 (0.984292,-0.124345) (0.0157084,-0.124345) 0.984292 0.0157084
1.4637e-10 (0.983501,-0.127385) (0.0164993,-0.127385) 0.983501 0.0164993
1.4994e-10 (0.982691,-0.130421) (0.0173092,-0.130421) 0.982691 0.0173092
1.5351e-10 (0.981862,-0.133451) (0.0181382,-0.133451) 0.981862 0.0181382
1.5708e-10 (0.981014,-0.136476) (0.0189862,-0.136476) 0.981014 0.0189862
1.6065e-10 (0.980147,-0.139496) (0.0198532,-0.139496) 0.980147 0.0198532
1.6422e-10 (0.979261,-0.14251) (0.0207391,-0.14251) 0.979261 0.0207391
1.6779e-10 (0.978356,-0.145518) (0.021644,-0.145518) 0.978356 0.021644
1.7136e-10 (0.977432,-0.148521) (0.0225677,-0.148521) 0.977432 0.0225677
1.7493e-10 (0.97649,-0.151518) (0.0235103,-0.151518) 0.97649 0.0235103
1.785e-10 (0.975528,-0.154508) (0.0244717,-0.154508) 0.975528 0.0244717
1.8207e-10 (0.974548,-0.157493) (0.0254519,-0.157493) 0.974548 0.0254519
1.8564e-10 (0.973549,-0.160472) (0.0264508,-0.160472) 0.973549 0.0264508
1.8921e-10 (0.972532,-0.163444) (0.0274685,-0.163444) 0.972532 0.0274685
1.9278e-10 (0.971495,-0.16641) (0.0285047,-0.16641) 0.971495 0.0285047
1.9635e-10 (0.97044,-0.169369) (0.0295596,-0.169369) 0.97044 0.0295596
1.9992e-10 (0.969367,-0.172321) (0.0306331,-0.172321) 0.969367 0.0306331
2.0349e-10 (0.968275,-0.175267) (0.0317251,-0.175267) 0.968275 0.0317251
2.0706e-10 (0.967164,-0.178206) (0.0328355,-0.178206) 0.967164 0.0328355
2.1063e-10 (0.966036,-0.181138) (0.0339644,-0.181138) 0.966036 0.0339644
2.14199e-10 (0.964888,-0.184062) (0.0351118,-0.184062) 0.964888 0.0351118
2.17769e-10 (0.963723,-0.18698) (0.0362774,-0.18698) 0.963723 0.0362774
