p N0 N1 N2 N3 estimation xi_exact ECM exact_ECM fisher fisher_exact
0.0001 91 0 9 0 0.609314 0.4 0.0100036 0.0100071 0.999645 0.999291
0.0101 94 0 5 1 0.442752 0.4 0.0106109 0.0107287 0.942429 0.932078
0.0201 93 0 7 0 0.517982 0.4 0.0109511 0.0114749 0.913153 0.871468
0.0301 93 0 6 1 0.468107 0.4 0.0117125 0.0122467 0.853787 0.816549
0.0401 96 1 3 0 0.287289 0.4 0.0155696 0.0130451 0.642277 0.766572
0.0501 89 2 9 0 0.577456 0.4 0.0120962 0.0138713 0.826704 0.720912
0.0601 88 3 8 1 0.535573 0.4 0.0128815 0.0147265 0.776306 0.679047
0.0701 86 1 9 4 0.571525 0.4 0.0130836 0.0156119 0.764316 0.640535
0.0801 89 4 5 2 0.369459 0.4 0.0175247 0.0165289 0.570625 0.605
0.0901 86 2 10 2 0.59014 0.4 0.0139032 0.0174788 0.719259 0.57212
0.1001 87 3 7 3 0.454689 0.4 0.0167665 0.0184632 0.596427 0.541619
0.1101 86 2 8 4 0.492574 0.4 0.0166184 0.0194835 0.601743 0.513256
0.1201 86 1 8 5 0.48125 0.4 0.0176474 0.0205414 0.566656 0.486823
0.1301 88 2 7 3 0.411829 0.4 0.0210524 0.0216386 0.475004 0.462138
0.1401 87 3 5 5 0.269468 0.4 0.0364804 0.0227769 0.27412 0.439041
0.1501 90 5 5 0 0.22965 0.4 0.049286 0.0239584 0.202897 0.417391
0.1601 87 4 8 1 0.425492 0.4 0.0236112 0.0251849 0.423528 0.397063
0.1701 82 6 8 4 0.435912 0.4 0.0241386 0.0264588 0.414275 0.377946
0.1801 82 3 11 4 0.559934 0.4 0.0200168 0.0277823 0.499582 0.359941
0.1901 85 6 4 5 nan 0.4 nan 0.0291578 nan 0.342961
0.2001 87 5 6 2 0.200803 0.4 0.0853526 0.030588 0.117161 0.326926
0.2101 85 3 8 4 0.353785 0.4 0.0375816 0.0320755 0.266088 0.311764
0.2201 80 4 9 7 0.426735 0.4 0.0310533 0.0336233 0.322027 0.297412
0.2301 81 4 8 7 0.339879 0.4 0.0439586 0.0352346 0.227487 0.283812
0.2401 76 8 8 8 0.35567 0.4 0.0433158 0.0369126 0.230862 0.27091
0.2501 76 7 11 6 0.512107 0.4 0.0286276 0.0386609 0.349313 0.258659
0.2601 75 8 16 1 0.703921 0.4 0.0219894 0.0404832 0.454764 0.247016
0.2701 80 7 6 7 nan 0.4 nan 0.0423836 nan 0.23594
0.2801 77 9 10 4 0.402885 0.4 0.0439244 0.0443663 0.227664 0.225396
0.2901 77 5 8 10 0.211923 0.4 0.130768 0.046436 0.076471 0.21535
0.3001 75 6 12 7 0.496229 0.4 0.0364054 0.0485976 0.274685 0.205772
0.3101 79 8 6 7 nan 0.4 nan 0.0508563 nan 0.196632
0.3201 74 11 7 8 nan 0.4 nan 0.0532178 nan 0.187907
0.3301 69 9 15 7 0.641424 0.4 0.0304923 0.0556882 0.327952 0.179571
0.3401 73 9 8 10 nan 0.4 nan 0.0582741 nan 0.171603
0.3501 78 3 12 7 0.374048 0.4 0.0676209 0.0609823 0.147883 0.163982
0.3601 78 7 8 7 nan 0.4 nan 0.0638205 nan 0.156689
