Time abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
0 1 0 1 0 0 0
3.56999e-10 0.996349 0.00365064 0.998245 0.00175467 0.0576517 0.0333552
7.13998e-10 0.991694 0.00830598 0.998247 0.00175276 -0.00132737 -0.0350529
1.071e-09 0.995625 0.00437477 0.99967 0.000329758 -0.113067 -0.00922785
1.428e-09 0.995097 0.00490275 0.993793 0.00620662 -0.0551729 0.0930657
1.785e-09 0.995857 0.00414254 0.989865 0.0101354 -0.074149 0.179163
2.14199e-09 0.984285 0.0157147 0.960644 0.0393564 0.0607692 0.218696
2.49899e-09 0.960367 0.0396326 0.940963 0.059037 0.0901278 -0.0121967
2.85599e-09 0.961464 0.0385361 0.96105 0.0389504 -0.0662021 0.189599
3.21299e-09 0.971586 0.0284136 0.958812 0.0411881 -0.11396 -0.228205
3.56999e-09 0.96612 0.0338799 0.925435 0.0745651 -0.0306982 -0.155896
3.92699e-09 0.964372 0.0356281 0.915295 0.0847051 -0.0533163 -0.246828
4.28399e-09 0.949151 0.0508487 0.876307 0.123693 0.014132 -0.23638
4.64099e-09 0.934955 0.0650454 0.859786 0.140214 0.00396138 0.380664
4.99799e-09 0.935768 0.0642323 0.862398 0.137602 -0.0661307 -0.0606264
5.35499e-09 0.925108 0.0748922 0.823103 0.176897 -0.0206918 0.104636
5.71199e-09 0.926185 0.0738154 0.816863 0.183137 -0.0669423 -0.0699174
6.06899e-09 0.936874 0.0631257 0.807707 0.192293 -0.105141 -0.167753
6.42598e-09 0.878114 0.121886 0.672039 0.327961 0.143745 0.0697732
6.78298e-09 0.807136 0.192864 0.647053 0.352947 0.133659 0.0362795
7.13998e-09 0.787115 0.212885 0.686833 0.313167 -0.0128535 0.181039
7.49698e-09 0.771203 0.228797 0.662976 0.337024 -0.024125 0.169927
7.85398e-09 0.70051 0.29949 0.572531 0.427469 0.100068 0.168075
8.21098e-09 0.712506 0.287494 0.631754 0.368246 -0.0835844 -0.0575483
8.56798e-09 0.649037 0.350963 0.521466 0.478534 0.0774424 -0.0361049
8.92498e-09 0.606099 0.393901 0.514246 0.485754 0.0290941 0.00294427
