Noise Level,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,1,0,1,0
0.01,3.56999e-10,0.997561,0.00243853,0.998673,0.00132722
0.01,7.13998e-10,0.99446,0.00554001,0.998194,0.00180557
0.01,1.071e-09,0.987795,0.0122053,0.992771,0.00722917
0.01,1.428e-09,0.979729,0.0202705,0.987413,0.0125869
0.01,1.785e-09,0.966362,0.0336376,0.976694,0.0233057
0.01,2.14199e-09,0.955444,0.0445555,0.970929,0.0290709
0.01,2.49899e-09,0.937597,0.0624029,0.954769,0.045231
0.01,2.85599e-09,0.92614,0.0738596,0.948607,0.0513929
0.01,3.21299e-09,0.902383,0.097617,0.923722,0.0762784
0.01,3.56999e-09,0.886442,0.113558,0.915644,0.0843563
0.01,3.92699e-09,0.870726,0.129274,0.898501,0.101499
0.01,4.28399e-09,0.858186,0.141814,0.88248,0.11752
0.01,4.64099e-09,0.835352,0.164648,0.852167,0.147833
0.01,4.99799e-09,0.817698,0.182302,0.835418,0.164582
0.01,5.35499e-09,0.790652,0.209348,0.803009,0.196991
0.01,5.71199e-09,0.769597,0.230403,0.7846,0.2154
0.01,6.06899e-09,0.742133,0.257867,0.752611,0.247389
0.01,6.42598e-09,0.725291,0.274709,0.736476,0.263524
0.01,6.78298e-09,0.702362,0.297638,0.702612,0.297388
0.01,7.13998e-09,0.675169,0.324831,0.669727,0.330273
0.01,7.49698e-09,0.64481,0.35519,0.637281,0.362719
0.01,7.85398e-09,0.618782,0.381218,0.611809,0.388191
0.01,8.21098e-09,0.598211,0.401789,0.586813,0.413187
0.01,8.56798e-09,0.563477,0.436523,0.541744,0.458256
0.01,8.92498e-09,0.538688,0.461312,0.520653,0.479347
0.01,9.28198e-09,0.505444,0.494556,0.480878,0.519122
0.01,9.63898e-09,0.465275,0.534725,0.442684,0.557316
0.01,9.99598e-09,0.446196,0.553804,0.43244,0.56756
0.01,1.0353e-08,0.414889,0.585111,0.38929,0.61071
0.01,1.071e-08,0.390036,0.609964,0.36494,0.63506
0.01,1.1067e-08,0.360441,0.639559,0.330014,0.669986
0.01,1.1424e-08,0.323078,0.676922,0.292744,0.707256
0.01,1.1781e-08,0.301127,0.698873,0.278562,0.721438
0.01,1.2138e-08,0.283652,0.716348,0.254738,0.745262
0.01,1.2495e-08,0.256007,0.743993,0.21801,0.78199
0.01,1.2852e-08,0.234963,0.765037,0.197917,0.802083
0.01,1.3209e-08,0.199412,0.800588,0.159643,0.840357
0.01,1.3566e-08,0.177806,0.822194,0.148118,0.851882
0.01,1.3923e-08,0.157776,0.842224,0.127104,0.872896
0.01,1.428e-08,0.130883,0.869117,0.0998999,0.9001
0.01,1.4637e-08,0.110528,0.889472,0.0857206,0.914279
0.01,1.4994e-08,0.0912718,0.908728,0.0685765,0.931424
0.01,1.5351e-08,0.0799276,0.920072,0.0588118,0.941188
0.01,1.5708e-08,0.0644756,0.935524,0.0410345,0.958966
0.01,1.6065e-08,0.0551094,0.944891,0.0330099,0.96699
0.01,1.6422e-08,0.0464356,0.953564,0.0226454,0.977355
0.01,1.6779e-08,0.0308514,0.969149,0.00967231,0.990328
0.01,1.7136e-08,0.0202705,0.97973,0.00538156,0.994618
0.01,1.7493e-08,0.0145979,0.985402,0.00278225,0.997218
0.01,1.785e-08,0.0104273,0.989573,0.000521523,0.999478
0.01,1.8207e-08,0.00850478,0.991495,2.00377e-05,0.99998
0.01,1.8564e-08,0.00483527,0.995165,0.000311376,0.999689
0.01,1.8921e-08,0.00485529,0.995145,0.00338257,0.996617
0.01,1.9278e-08,0.00656966,0.99343,0.00777763,0.992222
0.01,1.9635e-08,0.00913498,0.990865,0.012848,0.987152
0.01,1.9992e-08,0.0167,0.9833,0.0251034,0.974897
0.01,2.0349e-08,0.0230185,0.976981,0.0309562,0.969044
0.01,2.0706e-08,0.028271,0.971729,0.0397426,0.960257
0.01,2.1063e-08,0.0345594,0.965441,0.0530715,0.946928
0.01,2.14199e-08,0.0476123,0.952388,0.0755336,0.924466
0.01,2.17769e-08,0.0623479,0.937652,0.0923656,0.907634
0.01,2.21339e-08,0.0759942,0.924006,0.107451,0.892549
0.01,2.24909e-08,0.0909509,0.909049,0.127815,0.872185
0.01,2.28479e-08,0.109028,0.890972,0.151543,0.848457
0.01,2.32049e-08,0.133316,0.866684,0.179913,0.820087
0.01,2.35619e-08,0.155222,0.844778,0.199654,0.800346
0.01,2.39189e-08,0.178067,0.821933,0.224761,0.775239
0.01,2.42759e-08,0.208719,0.791281,0.258607,0.741393
0.01,2.46329e-08,0.23753,0.76247,0.282712,0.717288
0.01,2.49899e-08,0.256951,0.743049,0.300327,0.699673
0.01,2.53469e-08,0.27811,0.72189,0.33076,0.66924
0.01,2.57039e-08,0.305335,0.694665,0.366396,0.633604
0.01,2.60609e-08,0.324635,0.675365,0.387803,0.612197
0.01,2.64179e-08,0.348851,0.651149,0.423451,0.576549
