Noise Level,Repetition,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,0,1,0,1,0
0.01,0,3.56999e-10,0.998763,0.00123693,0.998989,0.00101092
0.01,0,7.13998e-10,0.997198,0.00280208,0.997884,0.00211617
0.01,0,1.071e-09,0.99364,0.0063596,0.992515,0.00748518
0.01,0,1.428e-09,0.987038,0.0129617,0.984327,0.015673
0.01,0,1.785e-09,0.979531,0.0204689,0.977014,0.0229856
0.01,0,2.14199e-09,0.970439,0.0295608,0.96673,0.0332698
0.01,0,2.49899e-09,0.963421,0.0365793,0.958428,0.0415717
0.01,0,2.85599e-09,0.955968,0.0440316,0.945281,0.0547192
0.01,0,3.21299e-09,0.939482,0.060518,0.920592,0.079408
0.01,0,3.56999e-09,0.92382,0.0761799,0.906372,0.0936279
0.01,0,3.92699e-09,0.902737,0.0972633,0.883158,0.116842
0.01,0,4.28399e-09,0.893972,0.106028,0.877702,0.122298
0.01,0,4.64099e-09,0.874007,0.125993,0.844466,0.155534
0.01,0,4.99799e-09,0.849882,0.150118,0.818114,0.181886
0.01,0,5.35499e-09,0.833395,0.166605,0.803279,0.196721
0.01,0,5.71199e-09,0.81001,0.18999,0.771072,0.228928
0.01,0,6.06899e-09,0.78137,0.21863,0.739801,0.260199
0.01,0,6.42598e-09,0.753406,0.246594,0.714014,0.285986
0.01,0,6.78298e-09,0.731798,0.268202,0.692936,0.307064
0.01,0,7.13998e-09,0.705959,0.294041,0.659851,0.340149
0.01,0,7.49698e-09,0.688335,0.311665,0.639047,0.360953
0.01,0,7.85398e-09,0.65786,0.34214,0.595591,0.404409
0.01,0,8.21098e-09,0.630572,0.369428,0.568559,0.431441
0.01,0,8.56798e-09,0.595791,0.404209,0.530115,0.469885
0.01,0,8.92498e-09,0.568001,0.431999,0.506254,0.493746
0.01,0,9.28198e-09,0.527404,0.472596,0.462333,0.537667
0.01,0,9.63898e-09,0.497489,0.502511,0.441901,0.558099
0.01,0,9.99598e-09,0.463559,0.536441,0.406885,0.593115
0.01,0,1.0353e-08,0.424981,0.575019,0.371502,0.628498
0.01,0,1.071e-08,0.384824,0.615176,0.339458,0.660542
0.01,0,1.1067e-08,0.357534,0.642466,0.321875,0.678125
0.01,0,1.1424e-08,0.322949,0.677051,0.285357,0.714643
0.01,0,1.1781e-08,0.290987,0.709013,0.258963,0.741037
0.01,0,1.2138e-08,0.260127,0.739873,0.232121,0.767879
0.01,0,1.2495e-08,0.241932,0.758068,0.217318,0.782682
0.01,0,1.2852e-08,0.214549,0.785451,0.18286,0.81714
0.01,0,1.3209e-08,0.191976,0.808024,0.16261,0.83739
0.01,0,1.3566e-08,0.162886,0.837114,0.133221,0.866779
0.01,0,1.3923e-08,0.142263,0.857737,0.118617,0.881383
0.01,0,1.428e-08,0.127006,0.872994,0.10285,0.89715
0.01,0,1.4637e-08,0.115577,0.884423,0.0872053,0.912795
0.01,0,1.4994e-08,0.0957093,0.904291,0.0629135,0.937087
0.01,0,1.5351e-08,0.0807406,0.919259,0.0512864,0.948714
0.01,0,1.5708e-08,0.060132,0.939868,0.0331785,0.966821
0.01,0,1.6065e-08,0.0459389,0.954061,0.0255073,0.974493
0.01,0,1.6422e-08,0.0353487,0.964651,0.0178005,0.9822
0.01,0,1.6779e-08,0.0253916,0.974608,0.0100211,0.989979
0.01,0,1.7136e-08,0.0201348,0.979865,0.00646226,0.993538
0.01,0,1.7493e-08,0.0142917,0.985708,0.00195952,0.99804
0.01,0,1.785e-08,0.00574282,0.994257,8.35409e-05,0.999916
0.01,0,1.8207e-08,0.00147544,0.998525,0.00215039,0.99785
0.01,0,1.8564e-08,1.38538e-05,0.999986,0.00593088,0.994069
0.01,0,1.8921e-08,0.00102093,0.998979,0.0138247,0.986175
0.01,0,1.9278e-08,0.00470942,0.995291,0.023025,0.976975
0.01,0,1.9635e-08,0.0111107,0.988889,0.0334415,0.966559
0.01,0,1.9992e-08,0.0180574,0.981943,0.0424564,0.957544
0.01,0,2.0349e-08,0.0300496,0.96995,0.0608231,0.939177
0.01,0,2.0706e-08,0.0486386,0.951361,0.0813362,0.918664
0.01,0,2.1063e-08,0.0673886,0.932611,0.0946765,0.905323
0.01,0,2.14199e-08,0.0832803,0.91672,0.107498,0.892502
0.01,0,2.17769e-08,0.111273,0.888727,0.139405,0.860595
0.01,0,2.21339e-08,0.133518,0.866482,0.15211,0.84789
0.01,0,2.24909e-08,0.150121,0.849879,0.167687,0.832313
0.01,0,2.28479e-08,0.172093,0.827907,0.196582,0.803418
0.01,0,2.32049e-08,0.187845,0.812155,0.214339,0.785661
0.01,0,2.35619e-08,0.213178,0.786822,0.250254,0.749746
0.01,0,2.39189e-08,0.22748,0.77252,0.265131,0.734869
0.01,0,2.42759e-08,0.246858,0.753142,0.29838,0.70162
0.01,0,2.46329e-08,0.273521,0.726479,0.33476,0.66524
0.01,0,2.49899e-08,0.310041,0.689959,0.374019,0.625981
0.01,0,2.53469e-08,0.334799,0.665201,0.391318,0.608682
0.01,0,2.57039e-08,0.365021,0.634979,0.427239,0.572761
0.01,0,2.60609e-08,0.385817,0.614183,0.448186,0.551814
0.01,0,2.64179e-08,0.395148,0.604852,0.467639,0.532361
0.01,0,2.67749e-08,0.424112,0.575888,0.518805,0.481195
0.01,0,2.71319e-08,0.451633,0.548367,0.548309,0.451691
0.01,0,2.74889e-08,0.490554,0.509446,0.590623,0.409377
0.01,0,2.78459e-08,0.521954,0.478046,0.613867,0.386133
0.01,0,2.82029e-08,0.538365,0.461635,0.629784,0.370216
0.01,0,2.85599e-08,0.574499,0.425501,0.67859,0.32141
0.01,0,2.89169e-08,0.608061,0.391939,0.705446,0.294554
0.01,0,2.92739e-08,0.644556,0.355444,0.736942,0.263058
0.01,0,2.96309e-08,0.670335,0.329665,0.754972,0.245028
0.01,0,2.99879e-08,0.70397,0.29603,0.788875,0.211125
0.01,0,3.03449e-08,0.736199,0.263801,0.813673,0.186327
0.01,0,3.07019e-08,0.765745,0.234255,0.836231,0.163769
0.01,0,3.10589e-08,0.785856,0.214144,0.851731,0.148269
0.01,0,3.14159e-08,0.813805,0.186195,0.880508,0.119492
0.01,0,3.17729e-08,0.842792,0.157208,0.902199,0.0978009
0.01,0,3.21299e-08,0.868265,0.131735,0.919017,0.080983
0.01,0,3.24869e-08,0.889635,0.110365,0.933549,0.0664515
0.01,0,3.28439e-08,0.911517,0.0884829,0.95001,0.0499902
0.01,0,3.32009e-08,0.929203,0.070797,0.96132,0.0386796
0.01,0,3.35579e-08,0.944407,0.0555933,0.972107,0.0278931
0.01,0,3.39149e-08,0.955844,0.0441555,0.980122,0.019878
0.01,0,3.42719e-08,0.963668,0.0363319,0.986595,0.0134051
0.01,0,3.46289e-08,0.973454,0.0265458,0.994185,0.00581496
0.01,0,3.49859e-08,0.981291,0.0187087,0.997857,0.00214274
0.01,0,3.53429e-08,0.988795,0.0112054,0.99992,7.9924e-05
0.01,0,3.56999e-08,0.991954,0.0080461,0.999894,0.000105955
0.01,0,3.60569e-08,0.994642,0.00535761,0.998761,0.00123866
0.01,0,3.64139e-08,0.995072,0.00492812,0.995471,0.00452918
0.01,0,3.67709e-08,0.991955,0.00804525,0.988744,0.0112559
0.01,0,3.71279e-08,0.98941,0.01059,0.985107,0.0148925
0.01,0,3.74849e-08,0.98297,0.0170301,0.973327,0.0266727
0.01,0,3.78419e-08,0.975594,0.0244062,0.963796,0.0362038
0.01,0,3.81989e-08,0.967793,0.0322066,0.952674,0.0473261
0.01,0,3.85559e-08,0.955673,0.0443267,0.934934,0.0650662
0.01,0,3.89129e-08,0.941971,0.0580295,0.919661,0.0803389
0.01,0,3.92699e-08,0.9279,0.0720998,0.90377,0.0962303
0.01,0,3.96269e-08,0.907045,0.0929555,0.878577,0.121423
0.01,0,3.99839e-08,0.885478,0.114522,0.859201,0.140799
0.01,0,4.03409e-08,0.869443,0.130557,0.844753,0.155247
0.01,0,4.06979e-08,0.853994,0.146006,0.822812,0.177188
0.01,0,4.10549e-08,0.83351,0.16649,0.793462,0.206538
0.01,0,4.14119e-08,0.814226,0.185774,0.77027,0.22973
0.01,0,4.17689e-08,0.787409,0.212591,0.736084,0.263916
0.01,0,4.21259e-08,0.756212,0.243788,0.704591,0.295409
0.01,0,4.24829e-08,0.73604,0.26396,0.688742,0.311258
